Site    Theta   Phi
Fp1          -90     -72
Fp2           90      72
F7           -90     -36
F3           -60     -51
Fz            45      90
F4            60      51
F8            90      36
FC5          -69     -21
FC1          -31     -46
FC2           31      46
FC6           69      21
T7           -90       0
C3           -45       0
Cz             0       0
C4            45       0
T8            90       0
EOG            0       0
CP5          -69      21
CP1          -31      46
CP2           31     -46
CP6           69     -21
Null           0       0
P7           -90      36
P3           -60      51
Pz            45     -90
P4            60     -51
P8            90     -36
PO9         -113      54
O1           -90      72
Oz            90     -90
O2            90     -72
PO10         113     -54
