Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
1.9274 0.5596 2.1626 0.3791 -0.4219 2.4920 1.6817 1.3370 0.0097 1.1762 0.6662 3.0152 0.3400 1.6503 1.8870 3.7368 1.5585 1.4949 1.4932 1.5944 -0.4225 2.0628 2.5650 1.8162 3.3559 2.3478 1.8993 2.2197 4.2652 -0.9501
-0.0221 2.6859 -0.6185 -0.1645 -0.7258 -0.5365 1.3043 1.7295 0.2512 0.3926 -1.5161 2.9132 1.3231 2.1839 1.3546 4.4313 2.5777 2.5316 1.4888 0.6122 -0.3077 3.2399 3.4225 1.2709 2.0940 4.3195 3.2682 2.0952 1.9373 -2.0974
-2.7070 2.1582 -1.4996 -1.3846 -0.7592 -0.6475 -0.3656 1.1686 -0.0733 0.2547 -1.7434 0.2676 1.3607 2.4442 1.3606 0.5285 2.4832 2.9058 1.3188 -0.2333 -0.2704 3.6257 3.6271 1.3043 0.5197 3.9683 2.4799 1.9306 2.1119 -2.1116
-0.5785 -0.8296 2.0226 -2.0112 -0.4223 1.9036 -1.2210 -0.5113 -0.7452 0.6521 -0.5919 -2.3417 0.1107 2.0462 1.3658 -2.0179 1.4295 2.5334 1.2735 -0.1112 -0.5086 2.9682 4.1198 2.4802 0.6499 2.3295 1.4994 4.5582 8.0845 1.1077
3.6300 -2.5367 4.3159 -2.4198 -0.2512 2.8383 -1.1699 -1.8216 -1.0969 0.8038 -0.7004 -2.3468 -0.8923 1.4535 0.7937 -1.0699 0.5933 1.9768 1.3106 0.4914 -0.7213 2.2204 4.5534 3.1219 1.0821 1.8885 1.4709 7.0156 11.8567 3.5825
5.2115 -1.1364 3.0725 -2.6432 -0.3591 1.3851 -0.9461 -1.3259 -0.9552 0.8112 -1.3671 -0.0633 -0.6377 1.2323 0.1509 -0.4472 0.9201 1.5592 1.1102 -0.0497 -0.5853 1.9978 3.7819 1.3274 -0.1226 3.6151 2.1070 5.6724 7.3011 2.1050
4.3562 0.3184 2.0580 -2.3582 -0.5604 0.2892 -0.6145 -0.0518 -1.0451 0.8370 -0.5713 1.6345 -0.2334 1.1914 0.0325 -1.7602 1.3637 1.1206 0.7400 -1.5760 -0.3534 1.6961 2.4618 -1.2532 -1.6370 5.2122 2.6520 2.9164 1.9246 -0.3076
2.0385 0.3580 1.7633 -2.1645 -0.7054 0.7621 -0.1132 0.6206 -1.5022 0.5637 0.3967 1.2547 -0.5853 0.8833 -0.1913 -2.2936 0.5871 0.3943 0.1007 -2.7790 -0.3957 0.4182 1.2756 -2.5144 -1.8950 4.2386 1.3222 0.1316 0.4531 -1.1983
-0.5777 1.2269 -0.0893 -2.1591 -0.5341 1.3682 0.3217 1.0821 -1.5261 0.2358 -0.1168 0.6646 -0.9447 0.4933 -1.0171 -1.1138 -0.3526 -0.5077 -0.8696 -3.6507 -0.5997 -1.1895 -0.3729 -3.3453 -1.8618 1.8078 -1.8477 -3.8870 -2.1793 -2.7535
-0.4908 2.5587 -2.2719 -1.2377 -0.1020 0.6149 0.4028 1.5787 -1.1434 0.3036 -0.6323 1.3309 -0.9591 0.3609 -1.4874 -0.4620 -0.1948 -1.1617 -1.5302 -4.3919 -0.6342 -1.6967 -1.7689 -4.3059 -2.1863 0.2427 -3.4372 -5.6703 -4.7739 -5.1689
2.0137 1.6955 -2.1115 0.7290 0.0220 -0.4736 -0.0847 1.1428 -1.0896 0.5180 -0.2400 1.6834 -1.2541 0.2697 -1.0472 -1.1531 0.1690 -1.2769 -1.5324 -4.2320 -0.4345 -1.0243 -1.3029 -3.8937 -1.9190 -0.1114 -1.7776 -2.1332 -1.4795 -4.8841
2.9395 -0.5661 0.3334 1.7802 -0.5386 -0.1365 -0.9139 -0.4904 -1.3412 0.5620 -0.5984 0.5367 -1.7434 0.1193 -0.6063 -1.3491 -0.0242 -0.8802 -1.3400 -2.8078 -0.1912 0.0712 0.3214 -1.8311 -0.8183 0.6893 0.8553 1.8193 3.5149 -2.1961
0.9863 -1.1169 2.9002 0.5125 -1.4178 0.6573 -1.0977 -1.7671 -1.5054 0.4752 -1.8831 -0.5428 -1.8514 0.2640 -0.6148 0.1317 -0.1719 -0.2532 -1.3352 -1.1954 -0.0584 1.1492 1.1698 0.1034 0.3966 2.5034 2.4416 1.8627 3.9074 -1.0373
-1.9514 0.8204 3.9544 -1.0695 -1.7395 0.3355 -0.2155 -1.3914 -1.5174 0.2721 -2.3691 -0.5392 -1.7792 0.4563 -0.6925 1.8681 -0.0519 0.1562 -1.7584 -1.0443 -0.0342 1.6146 0.9174 0.5788 1.2961 3.0538 2.5845 0.7080 2.9770 -1.1506
-3.3412 2.6568 3.4892 -0.5101 -1.2937 -0.5243 0.2989 -0.6243 -1.4587 0.0237 -2.1061 -0.6677 -1.9332 0.0380 -0.8979 1.8309 0.1138 0.0386 -2.6266 -2.2525 -0.0814 1.1365 0.1573 -0.1445 1.5341 0.7534 0.8789 -0.3108 3.3996 -0.5413
-1.5498 1.4772 1.3614 0.6428 -1.0540 -1.0106 -0.6390 -0.7974 -1.5242 -0.0231 -1.9440 -0.9084 -1.9479 -0.5105 -0.9768 0.3133 0.5424 -0.2419 -2.9516 -2.5676 -0.1792 0.6076 -0.5662 -0.6528 1.3104 -1.5807 -1.6655 -2.7286 1.7935 -0.8809
0.7820 -1.2787 -2.5977 -0.0169 -1.4310 -0.6459 -1.3782 -0.3528 -1.7430 0.2595 -1.0184 0.4676 -1.2632 -0.2406 -0.0146 -0.3447 1.1865 0.0919 -1.7453 -0.7987 -0.2504 0.9338 -0.0559 0.9130 2.4761 -1.0441 -1.9982 -2.8499 0.9795 -1.3856
-0.0882 -1.4229 -5.1108 -0.9816 -1.4219 0.7502 -0.1168 1.4243 -1.8564 0.7277 1.0251 2.7356 -0.4328 0.3239 1.6543 1.1773 1.2702 0.7448 0.0311 1.7151 -0.2300 1.2944 1.8730 4.3959 5.7945 0.0538 -0.0881 1.8648 6.9466 1.3816
