Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-0.0774 -2.3780 -2.4021 0.6074 1.9901 -1.3474 1.0702 -0.2427 0.1647 1.6712 -4.2856 -1.0844 0.1876 -0.0384 -1.1857 -4.3744 -0.7681 1.1342 -0.6053 -0.9830 -2.4611 0.1271 0.4141 -1.6937 -3.7057 -3.3970 -2.6135 -1.2074 -3.7627 -2.4175
-1.0996 -0.7788 -2.9357 0.0845 2.1560 -1.4618 -0.5018 -1.2895 0.4006 2.1404 -2.9236 -1.0441 0.1050 0.7718 -0.1314 -3.9579 -0.3427 1.6923 0.4269 -0.1533 -1.4345 0.8210 1.2115 -0.5984 -2.5665 -2.8630 -2.1246 -0.4141 -2.8552 -2.4355
-1.4808 0.3332 -2.6051 -0.2054 2.4754 -1.2726 -1.5293 -0.2330 0.9512 2.4360 -1.3390 -1.0567 0.7166 1.2102 0.6514 -2.7750 0.1179 2.0005 1.3863 0.2982 -0.4627 1.6966 2.1219 -0.0945 -2.1134 -2.0450 -1.0955 -0.4404 -2.6999 -2.6885
0.1514 -0.8262 -2.5614 0.0001 2.3623 -1.1286 -1.4911 0.9161 1.1504 2.4966 -1.6136 -0.5250 1.1423 1.7664 0.4973 -1.2254 0.4120 1.9603 1.3516 -0.8003 -0.1844 1.5966 2.2226 -0.7463 -3.1855 -2.3708 -2.0758 -2.6604 -4.4653 -4.3152
1.5047 -1.1445 -2.9423 0.1927 2.0380 -0.3884 -1.7457 0.5880 0.7414 2.3230 -4.1493 0.0744 0.7246 1.4014 0.3875 -0.9590 0.3157 1.4721 0.7790 -2.5481 -0.0971 0.6478 1.4153 -1.4854 -3.6688 -2.6779 -3.9738 -4.5505 -5.8766 -4.7737
1.0229 0.1563 -2.6789 0.1742 2.1494 0.3138 -2.0123 -0.0462 0.4906 2.1535 -5.2257 -0.6494 0.1312 -0.3470 1.1720 -1.6040 -0.0543 0.8683 1.0441 -2.4855 0.1474 0.3001 0.8447 -1.0740 -2.2181 -1.9262 -3.3735 -2.8688 -4.4922 -2.2507
0.1305 0.4137 -1.6632 0.2304 2.6042 0.1588 -1.1749 0.1467 0.9220 2.1217 -2.4092 -1.9658 0.0551 -0.8350 1.7497 -1.4836 -0.3640 0.4966 2.0379 -0.4360 0.0182 0.4573 0.9133 0.0381 -0.7173 -1.9226 -1.4524 0.1157 -2.4858 -0.1916
0.0696 0.2628 -0.9500 0.2382 2.9267 0.5700 -0.6056 0.3924 1.3514 1.9427 0.1214 -1.8254 0.1094 0.7558 1.2109 -0.3210 -0.5284 0.2732 2.5658 1.1722 -0.5017 0.0617 0.8580 0.8273 0.0309 -2.7251 -1.1111 1.1017 -1.7270 -0.4192
0.9915 1.9697 -0.6346 0.2505 3.1911 2.4347 -1.4305 -0.0243 1.1373 1.7556 -0.6007 -0.5785 -0.2804 1.2605 0.6718 1.2299 -0.5659 -0.0872 2.4845 1.4837 -0.5585 -0.5296 0.5595 1.2543 1.3212 -1.5688 -1.2004 1.3575 -0.4951 0.2104
2.7866 3.8720 0.0353 0.8194 3.6083 3.8190 -1.6673 -0.6146 0.7273 2.2723 -0.5657 -0.1450 -1.0966 -0.3004 1.3405 1.8444 -0.6356 -0.9322 2.2637 1.8965 -0.1436 -0.9089 0.3920 1.3797 2.3584 0.9557 -0.2881 2.1514 1.0669 2.0049
4.0805 3.9429 0.7650 1.5137 3.8697 3.4221 -0.1656 -1.0565 0.5390 3.3067 2.6454 -0.7877 -2.2320 -1.3808 2.6301 0.8683 -1.5016 -2.4342 1.6796 2.5034 -0.4881 -1.9756 -0.2439 0.9149 1.7630 1.0354 -0.1259 1.9225 0.8113 1.8231
3.2994 3.9830 1.1390 1.3966 3.7263 2.8890 1.2850 -0.7642 0.3094 3.7913 5.1249 -1.1816 -3.0699 -1.0725 3.0268 0.8587 -3.0462 -3.8343 0.7685 2.2487 -1.5773 -3.3558 -1.6356 0.4974 1.4165 -0.7812 -0.8680 1.1054 0.1503 0.9627
1.5945 4.8123 1.3282 0.8429 3.3766 3.2600 1.5099 0.8901 -0.0031 3.6403 4.2082 -0.7251 -2.5329 -0.6663 2.4304 2.7985 -3.3532 -3.8964 0.5532 2.0366 -1.7420 -3.0701 -2.2746 1.1942 2.6767 -0.6094 -0.0082 2.0756 1.6465 2.4970
1.5382 4.1304 0.9972 0.7568 3.0234 3.2781 1.1317 2.0031 0.0789 3.5741 2.1563 -0.2250 -1.2416 -0.8909 2.3117 3.2151 -1.9493 -2.7834 1.2022 2.8730 -0.9214 -1.4589 -1.2483 2.3600 3.3929 0.7987 1.7755 3.7148 3.3549 3.9448
3.0840 2.4928 0.6999 1.3227 2.8246 2.9921 0.6258 0.6711 0.8356 3.3494 1.0522 -0.1319 -0.9455 -1.5461 2.5583 2.0127 -0.9901 -1.9781 1.1987 2.7453 -0.7439 -1.0338 -0.2564 2.2006 2.4623 0.2743 1.4193 3.1982 2.1381 2.4787
3.7991 2.5762 1.6137 2.1090 2.8421 3.5773 0.0646 -0.8447 1.6312 2.3456 0.2635 -0.1494 -1.4038 -1.9096 1.2832 1.8566 -1.4231 -2.1288 -0.2260 0.1598 -1.4653 -2.1519 -0.9868 0.4080 1.0123 -1.3030 -0.5808 1.2659 -0.6820 0.5582
2.8367 2.8314 2.1668 2.2035 2.8256 3.7167 -0.4335 -0.3214 1.4284 1.2451 -0.8903 -0.7603 -1.4577 -1.5117 -1.0207 0.3620 -2.2646 -2.6607 -1.8308 -2.5545 -2.6013 -3.1945 -2.5484 -1.6831 -1.1514 -2.6209 -1.9772 -0.1817 -2.2896 -0.2606
