Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-1.4172 0.1871 -7.2738 1.7212 -2.2816 -1.0492 -1.3406 -3.9302 -0.3378 0.5984 -6.2946 -0.7641 -5.0591 14.1219 -13.1383 2.6304 -4.9018 -5.7972 -3.6512 -4.0239 -3.5991 -0.3848 -3.1763 -4.5824 2.1026 3.8280 2.0460 6.0054 1.7953 8.7539
-2.2933 -1.4083 -5.5142 -1.6785 -2.0419 -1.4219 -1.8613 -5.5150 -0.6280 13.7534 -8.7103 -1.4067 -4.6145 41.8566 -10.9234 1.2665 -6.5634 -5.9736 -1.3130 -5.7896 -11.7703 -0.6197 -5.5792 -6.2955 -0.5465 0.6803 -0.1365 4.1234 -1.8388 5.6949
-2.6576 -1.1596 -4.9422 -4.3938 -1.0258 -1.3081 -2.2382 -6.7948 -0.4800 11.3144 -8.8576 -2.0887 -4.0388 32.3603 -9.9296 -0.0125 -6.6124 -6.3171 -2.0331 -6.9609 -3.5507 -0.5124 -8.0836 -6.3848 -3.4015 -6.1830 -4.3897 -3.6462 -7.8050 3.1037
-1.6648 -0.7822 -4.5185 0.0028 -0.3388 -1.6333 -2.6706 -4.4199 -0.4566 -1.5298 -7.3985 -3.1189 -2.6599 4.8441 -12.1363 -1.5355 -4.2927 -5.6925 -6.4644 -8.6740 9.9683 -0.5609 -7.5949 -6.5311 -6.8521 -8.0565 -4.5378 -7.9998 -11.3655 -2.3457
-1.0547 -1.1397 -3.1533 4.4487 -0.4554 -2.5965 -3.2406 -1.4311 -0.7441 -3.7571 -8.7697 -4.1742 -1.5419 6.2317 -16.0458 -3.7752 -2.0590 -4.3735 -6.8289 -10.7464 4.9852 -0.8026 -5.2561 -7.3989 -9.4338 -4.5642 -2.0295 -7.3025 -10.6100 -9.9748
-2.3122 -1.1385 -2.2015 0.2715 -1.0405 -3.6486 -3.4334 -2.5406 -0.6822 2.3159 -12.0415 -5.1974 -1.8999 23.3882 -18.6911 -5.8910 -0.7701 -3.0906 -1.8367 -11.9872 -8.8270 -0.6897 -2.7027 -7.4894 -9.7044 -0.4889 -0.5548 -4.1263 -7.0725 -14.7340
-3.9508 -0.3438 -2.5476 -8.0052 -1.3344 -4.2281 -2.7748 -6.3665 -0.2822 -0.4538 -11.7891 -6.0714 -3.2360 13.4551 -17.8844 -6.7525 0.6795 -2.3023 0.3564 -11.7020 -4.1403 -0.3412 -0.9805 -6.4279 -9.5663 0.6093 0.5967 -0.6348 -4.5589 -15.9288
-4.8650 -0.8311 -4.2757 -11.6186 -1.3182 -4.1915 -3.0495 -9.0281 -0.0291 -9.1844 -8.1797 -6.2156 -4.6840 -13.0410 -13.7742 -6.5047 1.1043 -2.5508 -2.4402 -9.8910 13.1330 -0.1493 -1.6930 -5.1102 -11.2534 -1.2857 1.7909 -1.1059 -5.9247 -16.9873
-5.9006 -3.8150 -6.7498 -8.4043 -2.0029 -4.3215 -5.5225 -8.4734 0.3573 -10.1174 -6.5917 -5.7057 -5.3927 -17.2678 -9.9062 -6.0662 -1.1030 -3.3030 -3.3197 -7.4910 13.1365 0.2528 -4.2089 -3.9013 -13.6103 -3.5079 0.3723 -8.3316 -9.7337 -16.6779
-7.2545 -6.0086 -7.2334 -4.9289 -3.8211 -5.7865 -6.5165 -6.0479 1.0732 -4.2474 -8.7262 -5.3478 -3.9698 2.3194 -10.7302 -5.5971 -3.0623 -2.7328 0.3292 -5.3267 -4.0119 1.0256 -3.9360 -2.4104 -13.4020 -4.1516 -2.9245 -12.8644 -9.0556 -12.1085
