Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
7.9188 -3.0592 -2.8903 0.8638 2.9145 0.8003 2.1348 -0.3178 0.2398 4.7453 1.3382 0.4679 -1.1738 2.1471 1.0608 2.0277 1.0646 -0.4436 3.2408 1.0355 4.2050 0.3598 1.4508 0.6262 1.6179 3.4354 -0.4859 1.1122 0.2221 0.5185
1.3546 2.9039 -1.4622 0.7124 1.9046 1.1914 1.3266 0.0728 0.2421 4.1824 2.0528 -0.1419 -1.0166 0.5501 0.4313 1.5408 0.5092 -0.7245 3.0070 1.1707 3.0274 0.2032 2.4466 0.5238 1.2938 2.2543 0.6248 2.2161 2.0741 0.6051
-1.4445 2.4690 0.9713 1.8745 0.7107 1.4173 1.6654 -0.7519 0.4007 3.3306 1.5046 -1.7851 -1.5167 -0.5947 1.5106 -5.7934 -0.6161 -0.8070 3.2875 2.0591 1.7471 0.0310 2.3978 0.7033 -1.3775 0.2350 1.8014 2.7612 2.1458 -0.5061
-0.3816 -0.1633 3.1930 3.2341 1.1537 2.3928 1.7299 -0.9919 0.8037 2.9149 1.1463 -1.8758 -1.4520 0.7151 2.0128 -8.1456 -0.3314 0.2277 3.9794 3.1674 2.1633 0.7501 2.3863 1.8194 -2.4083 -0.0389 4.4069 3.4100 1.5108 -1.7168
-1.5076 1.5870 3.6750 3.5241 2.6108 2.6906 2.1539 -0.2264 1.1118 2.9488 1.7630 -0.7076 -0.9988 2.3458 -0.4077 -0.0024 0.5481 1.1444 3.5740 2.3858 2.8909 1.3983 3.2770 2.5741 -1.0182 0.7384 6.4458 3.1071 1.1191 -1.7011
-4.6337 2.9755 0.9073 2.1518 3.3222 0.7588 3.3123 -0.7073 0.7359 3.0545 1.7255 -1.8020 -1.3729 1.7340 -2.4892 4.0350 -0.1272 0.5177 2.3323 0.5308 1.2693 0.2036 3.1594 1.9983 -0.0448 -1.0707 3.4213 -0.9655 -1.5108 -1.0240
-4.5717 0.3882 -2.7241 0.2101 3.0714 -0.9917 2.1822 -2.1442 0.1464 2.7553 0.0733 -4.2193 -1.8233 0.1639 -1.9020 -1.6040 -1.1497 -0.3475 2.0729 -0.0155 -0.7767 -1.3185 1.5392 1.0518 -0.6054 -4.1304 -1.9986 -5.7040 -5.1288 -0.6295
-1.1453 -2.5378 -3.7731 -0.5979 2.3249 -0.6582 -1.5501 -2.2219 0.3055 1.6080 -2.5224 -3.9945 -1.0596 0.0126 -1.9516 -4.4298 -0.1393 -0.0722 2.4807 0.3534 -0.1162 -0.6183 0.8777 0.5083 -1.6244 -4.3902 -3.2181 -5.3400 -4.7416 -1.4041
1.2666 -4.8422 -2.5332 0.0081 1.6450 0.0803 -2.5418 -0.8409 1.0738 0.3379 -4.3533 -2.3014 0.0248 0.8855 -4.0047 -2.0734 1.5034 0.1464 1.8318 -0.1827 1.1469 0.8364 1.6678 -0.1068 -2.3527 -3.7549 -1.0492 -2.5669 -2.1889 -3.8110
0.7819 -7.5074 -1.6093 0.5962 1.9394 0.0217 0.3052 -0.0358 1.4096 0.2226 -4.1528 -2.8368 0.0434 1.0229 -4.8341 -3.3814 1.3358 -0.4799 0.6849 -0.7468 0.2252 0.5818 1.6562 -0.3461 -1.7507 -5.6384 0.0546 -2.0878 -1.1631 -5.5624
-0.6984 -7.3079 -2.8330 -0.2061 2.9260 -0.5854 1.3017 -1.3586 0.7689 1.1740 -2.2032 -4.2589 -0.8734 0.0255 -3.2901 -6.1695 0.3021 -1.0424 0.7130 0.6467 -0.8867 -0.4666 0.5062 0.8696 0.7847 -7.3066 -0.5165 -1.3550 1.7357 -3.7251
-0.3111 -3.6829 -4.8502 -1.3309 3.1892 -1.3766 -0.0497 -3.1792 0.0101 2.4442 0.7142 -3.1233 -1.6467 -1.0524 -1.3600 -3.5310 0.3728 -1.3184 1.7327 3.0903 0.1993 -0.5624 0.1694 2.6182 3.2754 -5.3592 -1.6449 0.7292 6.4368 0.3457
2.3826 -2.0186 -3.3399 -0.2392 2.7795 -0.8393 1.4834 -2.0850 0.4047 3.8814 3.6683 -0.7143 -1.3842 -0.8986 0.4615 0.5278 1.4288 -1.4232 2.9855 4.9160 2.7301 0.4694 1.0919 3.4524 3.8959 -1.2845 -0.6973 0.7651 5.8267 2.7412
4.3000 -2.7640 2.7875 3.0974 2.9478 2.0076 4.8113 0.7793 1.4400 4.8612 5.1407 -0.3032 -0.9010 0.4252 2.7550 1.0902 2.2281 -1.0963 4.1972 6.3170 5.2429 1.9718 2.0784 3.9356 3.6462 2.4182 4.5825 -0.1133 0.8574 2.6223
4.2646 -0.7890 8.5247 5.9494 3.5256 5.5415 4.8138 0.8102 1.5888 4.3548 4.5953 -0.8338 -1.9251 1.0591 3.6976 2.0747 1.9704 -1.1555 4.1668 6.4903 6.4812 2.3914 2.5452 4.2383 3.7581 4.1133 8.3132 0.1221 -0.8761 2.0189
5.3250 2.2020 8.9995 6.1195 3.2849 7.4095 2.7619 -1.5230 1.0902 3.0864 3.7853 0.0756 -3.5646 0.0150 1.7455 4.3980 0.8136 -2.3700 2.5095 4.4890 5.1972 0.5130 1.9966 2.8507 3.8694 2.0049 3.1266 -1.9858 -0.5311 1.7636
6.9697 0.9331 4.2981 3.3535 1.9669 6.1380 2.3017 -1.9831 0.9106 3.0211 4.1839 0.6493 -3.4247 -1.1550 0.2399 1.5259 -0.5836 -3.6119 1.7953 3.3425 2.1264 -2.3808 -0.1330 0.3494 3.0735 -2.4699 -5.4716 -6.7758 -3.0841 1.2788
4.9365 -0.6860 -1.1269 -0.1053 0.5129 3.1862 1.9893 0.0208 0.6532 4.2331 3.9072 -0.5811 -1.8300 -0.8801 2.1525 -4.6154 -1.7145 -3.7198 3.3336 4.8890 -0.1391 -4.0835 -2.3088 -0.6689 1.1031 -4.5739 -7.6081 -8.4649 -5.1370 0.4732
1.4058 2.8220 -2.0344 -0.5704 0.2646 2.8263 0.0711 2.0846 0.2127 4.8897 1.2456 -0.9228 -0.7225 0.2513 3.6414 -3.5508 -1.8717 -3.2026 4.1183 4.7243 -0.6640 -4.1312 -2.2681 -0.4906 -0.7405 -3.2515 -5.0061 -5.6376 -2.2160 -0.4632
1.9605 5.7233 0.8075 2.0356 1.5848 4.3682 -0.1576 1.7912 0.2669 4.5166 -0.3838 0.3105 -1.0283 0.5989 1.3503 2.4616 -0.9520 -3.1717 2.1270 0.9788 -0.9769 -3.6118 -1.2030 -1.5860 -1.3602 -1.8694 -3.8951 -3.5608 0.8639 -1.3127
4.0939 1.8272 1.1390 3.4972 2.9179 1.9546 3.8019 -1.3940 0.3465 4.3558 1.6563 0.2709 -2.5725 -0.5552 -1.0329 2.0223 -0.3635 -3.9742 -0.3855 -1.2851 -1.8871 -3.6291 -2.0102 -3.7025 -2.1231 -2.1821 -3.7731 -5.4717 -2.1005 -2.0389
