Fp1 Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 T7 C3 Cz C4 T8 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 PO9 O1 Oz O2 PO10
-2.4168 5.3994 4.7446 2.3608 2.3943 3.5392 3.0644 3.6342 1.1634 2.1041 2.9384 5.7549 2.7931 0.7116 3.8604 5.1406 5.0227 3.5943 4.2522 6.0108 8.2326 4.4878 3.0368 5.9395 6.5727 5.5794 4.5138 4.2261 4.5478 4.3765
-0.9734 5.2721 6.4848 3.0703 2.1256 4.1868 4.2315 4.1612 1.3036 2.6306 6.4554 6.9395 2.3131 1.2045 4.9972 4.0252 5.5825 2.1124 5.1092 7.5253 8.7459 5.3119 4.0469 6.9473 7.0701 6.1070 5.3038 4.9499 5.4812 4.8475
2.4005 4.0146 6.9500 3.0716 1.4728 4.9931 4.3568 4.2533 1.1261 2.9390 8.7719 7.3314 1.7946 1.2661 5.2320 4.9469 5.8219 0.8976 5.3047 7.6545 8.4286 5.4791 4.7992 7.1271 8.5461 5.7289 5.0278 4.9146 5.9370 5.9648
3.5441 4.2421 6.5907 2.6553 1.0103 5.4107 3.5401 4.3894 1.1850 2.8025 8.7620 7.7028 2.5675 1.3058 5.2727 6.8185 6.1506 2.1774 5.2310 7.8641 8.5320 5.5430 5.0543 7.2223 9.8392 5.9954 4.7317 5.1703 6.0841 7.3669
2.9692 4.1929 6.5792 2.8524 1.3281 5.6332 2.9450 4.4157 1.6521 2.1825 6.2203 7.6197 3.6417 1.5760 5.2639 6.4952 6.6978 3.9940 5.2458 8.8155 9.4550 6.0005 5.0499 7.7559 10.1166 7.3967 5.4297 6.5235 7.5028 8.1995
2.3592 3.3934 7.0437 3.1591 1.7066 6.1419 2.7910 5.0971 1.9165 1.5481 3.8056 6.3211 4.2635 1.9320 4.9900 5.5830 7.0045 4.5211 5.0691 9.2058 10.2852 6.6047 5.3961 8.5785 11.1386 8.7567 6.9837 8.6991 10.6560 9.4421
1.2969 4.2427 7.4922 2.6888 1.3740 6.1308 2.6954 6.1937 1.6878 1.2306 5.2686 4.8207 4.3134 1.9499 4.4663 6.2345 6.2160 4.0638 4.1840 8.1786 9.9762 6.3148 5.4833 8.2176 12.0653 8.6186 7.5385 9.5267 11.8844 10.4826
0.5839 5.2599 7.1388 1.9927 0.8058 4.9589 2.4942 5.5851 1.4224 0.9122 7.6821 3.9293 3.4657 1.4600 3.5417 6.7221 4.9173 3.1107 2.9640 6.5689 9.1886 5.1783 4.5933 6.2719 10.9002 7.9588 6.7934 8.3594 9.8188 9.7281
1.3668 3.4145 5.4649 1.8514 0.7030 3.7027 2.3161 3.1277 1.3834 0.5791 5.1524 2.9669 2.2701 0.8126 2.4392 5.6463 4.4705 2.2658 2.2465 5.4973 9.0024 4.3451 3.4981 4.8220 9.4369 8.2839 6.4417 7.8335 8.9949 8.4461
2.0265 1.3893 3.6188 2.0466 1.2394 3.2371 2.8113 1.0849 1.2773 0.7903 0.8800 2.3741 1.2968 0.1999 1.9586 3.7637 4.0638 1.6584 1.7172 4.9717 8.4606 3.4235 2.4848 4.5090 8.7317 8.2352 6.1880 8.1428 10.0623 7.5062
1.2031 2.5640 3.2208 2.1123 2.2533 3.1844 3.9474 0.7278 1.0723 1.3703 1.3437 2.7819 0.2878 -0.4592 2.0190 1.7466 2.4751 0.3487 0.6388 4.3025 6.6117 1.4370 0.8270 3.5461 6.9323 6.4814 4.6802 6.0410 7.8837 5.8707
0.2243 4.5953 4.1366 2.1352 2.9820 3.6198 4.0721 1.6810 1.1202 1.4749 3.4914 2.3623 -0.2989 -0.9602 1.6372 0.9098 1.0608 -1.4734 -0.4652 3.5178 4.8037 -0.3786 -0.7864 2.0435 5.1178 4.4520 3.0618 2.4513 3.6117 4.8662
0.2300 4.8670 5.2497 2.4252 2.7217 4.7561 2.8081 2.5898 1.2391 1.0992 2.6321 0.6945 -0.2017 -1.2725 0.7104 2.4062 0.7719 -2.4243 -0.9302 3.1844 3.7921 -0.9148 -1.2341 1.5235 5.3304 2.7809 2.1858 1.3167 3.0130 5.2147
0.5676 5.0019 5.7724 2.7032 2.1699 5.4120 2.5956 2.1866 0.8899 1.0388 2.4363 0.8109 -0.6630 -1.7593 0.1551 4.6927 -0.0271 -2.5199 -1.1549 3.0525 2.3593 -1.5191 -1.3023 1.2994 5.4591 0.6313 0.4801 1.5606 4.3200 4.0328
0.5455 5.9854 5.2958 2.4891 2.4067 4.7756 4.3246 1.1378 0.3141 1.5712 5.0921 2.6879 -1.8800 -2.1502 0.4495 5.5298 -1.8877 -2.6310 -1.3051 2.6422 0.4548 -2.8605 -1.8095 0.4336 4.0205 -0.9167 -1.8653 0.2027 2.9090 1.4083
0.3323 5.3061 4.3179 2.2815 2.9808 3.8264 5.3170 0.5067 0.1768 2.0853 5.5320 1.8185 -2.5083 -1.8247 1.0902 4.1421 -3.1406 -2.7758 -1.0905 2.2049 -0.9326 -3.7435 -2.2512 -0.2076 2.7294 -1.2425 -2.9817 -1.8604 0.0927 0.3167
0.2460 1.8063 3.6517 2.5526 2.7394 3.0767 4.2388 -0.2420 0.3586 1.9445 2.5220 -2.4989 -2.4632 -1.2638 1.3170 0.8868 -3.3964 -2.9111 -0.9645 1.7251 -2.2489 -4.0357 -2.6225 -0.4556 1.7455 -2.5904 -3.6799 -3.4789 -2.0191 -0.0242
0.2704 -1.3215 2.7751 2.2559 1.5868 1.9664 3.2716 -0.9845 0.3625 1.4500 1.2285 -5.0546 -2.3652 -1.3293 1.1350 -2.2326 -3.6549 -3.0226 -1.1887 1.0019 -3.5436 -4.3498 -3.0689 -0.8844 0.5299 -4.8234 -4.9694 -4.7027 -3.3928 -0.9231
-0.2196 -1.3191 1.0648 0.7744 0.2114 0.7658 3.6270 -0.6538 0.2413 1.3449 2.5497 -3.3298 -1.8018 -1.5448 1.2292 -3.0441 -3.6023 -2.4887 -0.9496 0.8559 -3.2761 -4.0149 -2.7604 -0.7638 0.5145 -4.5142 -4.9476 -4.4330 -2.9773 -0.9117
-1.7442 -0.0675 -0.3187 -0.4971 -0.8331 0.0965 3.5902 0.1353 0.1306 1.3379 2.2508 -1.2191 -0.8765 -1.1304 1.3842 -1.9872 -2.6339 -1.6046 -0.2509 1.6088 -1.6336 -2.7507 -1.8623 0.1204 1.4287 -2.0063 -3.2431 -3.2215 -1.4817 -0.5657
-3.1435 -0.2008 -0.1487 -0.5414 -1.2709 -0.0449 2.2335 0.3274 -0.1033 0.6475 0.0171 -1.5912 -0.6573 -0.7352 0.3962 -0.9455 -1.8435 -1.6084 -0.2870 1.6869 -0.8241 -1.8698 -1.7401 0.2198 0.8978 -1.3815 -2.5285 -3.5396 -1.8057 -1.8492
-2.9352 -0.8341 1.1007 0.0406 -1.0838 0.4529 1.1511 0.2300 -0.2619 -0.1853 -0.5160 -2.1100 -1.1196 -1.0504 -1.4634 -0.6846 -2.0318 -2.0005 -0.9604 0.4456 -1.1541 -1.8540 -2.1244 -0.7078 -0.6736 -3.1249 -3.1627 -4.6367 -3.3929 -3.5041
