T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
eegFileName,AccRT,ConRT,,,,,,,,,,,,
VR_su0001,785.5813953,760.1162791,,,,,,,,,,,,
VR_su0002,428.3870968,395.3684211,,,,,,,,,,,,
VR_su0003,697.847,694.334,,,,,,,,,,,,
VR_su0004,417.4468085,395.7142857,,,,,,,,,,,,
VR_su0005,464.8351648,488.8421053,,,,,,,,,,,,
VR_su0007,554.2105263,543.4328358,,,,,,,,,,,,
VR_su0008,533.1081081,630.4210526,,,,,,,,,,,,
VR_su0009,672.5263158,703.5,,,,,,,,,,,,
VR_su0010,1122.705882,1155.9,,,,,,,,,,,,
VR_su0011,667.2413793,789.4736842,,,,,,,,,,,,
VR_su0012,495.8064516,510.5,,,,,,,,,,,,
VR_su0013,414.1935484,601.6666667,,,,,,,,,,,,
VR_su0014,509.0277778,580,,,,,,,,,,,,
VR_su0015,560.1333333,692.1,,,,,,,,,,,,
VR_su0017,594.4791667,657.244898,,,,,,,,,,,,
VR_su0019,956.4705882,785.7407407,,,,,,,,,,,,
VR_su0020,428.5555556,396.969697,,,,,,,,,,,,
