TimeStemp,EventTimeStemp,Linear Acc(x),Linear Acc(y),Linear Acc(z),Angular Vel(x),Angular Vel(y),Angular Vel(z),Rotation(x),Rotation(y),Rotation(z),POR(Point Of Regard)(x),POR(Point Of Regard)(y),IOD(Interocular Distance),IPD(Interpupillary Distance),Gaze Direction(x),Gaze Direction(y),Gaze Direction(z),Gaze Base Point(x),Gaze Base Point(y),Gaze Base Point(z),Left POR(Point Of Regard)(x),Left POR(Point Of Regard)(y),Left Gaze Direction(x),Left Gaze Direction(y),Left Gaze Direction(z),Left Gaze Base Point(x),Left Gaze Base Point(y),Left Gaze Base Point(z),Left Pupil Positioon(x),Left Pupil Positioon(y),Left Pupil Positioon(z),Left Pupil Radius,Left Eye Lens Distance,Left Eye Screen Distance,Right POR(Point Of Regard)(x),Right POR(Point Of Regard)(y),Right Gaze Direction(x),Right Gaze Direction(y),Right Gaze Direction(z),Right Gaze Base Point(x),Right Gaze Base Point(y),Right Gaze Base Point(z),Right Pupil Positioon(x),Right Pupil Positioon(y),Right Pupil Positioon(z),Right Pupil Radius,Right Eye Lens Distance,Right Eye Screen Distance
0.01000214,2,0.007808713,-0.004316138,0.04660859,0.01130076,0.002906443,0.005990184,-0.03239685,-2.313568,2.437958,1001.149,609.4198,64.42488098,63.89363861,-0.04019211,-0.1337499,0.9901997,-1.118687,9.346291,-26.8086,989.7729,614.3955,-0.05034959,-0.1415138,0.9886532,31.07061,8.957056,Infinity,30.39025,7.886515,-15.95755,1.627828804,2.60E+59,2.60E+59,1012.525,604.4441,-0.03013269,-0.1251485,0.9916802,-33.32283,9.720365,Infinity,-33.46978,9.039617,-17.67903,1.698634422,Infinity,Infinity
0.02000046,,-0.01867284,0.07355662,0.07619386,0.01124275,0.00396031,0.002801841,-0.03239685,-2.313568,2.437958,1001.149,609.4198,64.42488098,63.89363861,-0.04019211,-0.1337499,0.9901997,-1.118687,9.346291,-26.8086,989.7729,614.3955,-0.05034959,-0.1415138,0.9886532,31.07061,8.957056,Infinity,30.39025,7.886515,-15.95755,1.627828804,2.60E+59,2.60E+59,1012.525,604.4441,-0.03013269,-0.1251485,0.9916802,-33.32283,9.720365,Infinity,-33.46978,9.039617,-17.67903,1.698634422,Infinity,Infinity
0.03000259,,0.01329128,-0.002503259,0.2136611,0.003712207,0.00508866,0.01130798,-0.03151904,-2.320709,2.440582,1001.906,609.8576,64.42595673,63.87242508,-0.04118138,-0.1342964,0.9900851,-1.113277,9.354529,-26.80658,991.0883,614.8226,-0.05163912,-0.1422632,0.9884803,31.07187,8.960817,Infinity,30.37555,7.905858,-15.95197,1.628476781,2.47E+59,2.47E+59,1012.724,604.8926,-0.0303283,-0.1259136,0.9915774,-33.32281,9.718184,Infinity,-33.46402,9.024971,-17.6677,1.69406739,Infinity,Infinity
0.04000092,,0.07762992,-0.009664105,0.04713898,-0.002599999,-0.0013,0.00381043,-0.02789566,-2.324066,2.442902,1001.995,611.0491,64.42717743,63.86420822,-0.0410913,-0.1366609,0.9897653,-1.113731,9.34873,-26.80023,991.6985,616.1544,-0.05222441,-0.1445326,0.9881201,31.07315,8.963728,Infinity,30.3716,7.871274,-15.95205,1.613086608,2.35E+59,2.35E+59,1012.291,605.9438,-0.02989405,-0.1277273,0.9913582,-33.32291,9.716197,Infinity,-33.45935,9.008044,-17.67076,1.679992394,Infinity,Infinity
0.05000305,,0.1105136,-0.08784015,0.01403559,-0.000399239,-0.006693557,0.006990185,-0.02516046,-2.323883,2.441223,1001.717,611.2966,64.42834473,63.88823318,-0.04072798,-0.1366768,0.9897781,-1.114502,9.343715,-26.79115,990.5842,617.0962,-0.05112059,-0.146148,0.9879404,31.07434,8.966373,Infinity,30.38566,7.857843,-15.94914,1.618802494,2.23E+59,2.23E+59,1012.849,605.497,-0.03044606,-0.1269496,0.9914416,-33.32306,9.713926,Infinity,-33.46884,9.014949,-17.67259,1.682725941,Infinity,Infinity
0.06000137,,0.08827143,-0.0576214,0.04686756,-0.007926717,-0.00566804,0.003795706,-0.02516046,-2.323883,2.441223,1001.717,611.2966,64.42834473,63.88823318,-0.04072798,-0.1366768,0.9897781,-1.114502,9.343715,-26.79115,990.5842,617.0962,-0.05112059,-0.146148,0.9879404,31.07434,8.966373,Infinity,30.38566,7.857843,-15.94914,1.618802494,2.23E+59,2.23E+59,1012.849,605.497,-0.03044606,-0.1269496,0.9914416,-33.32306,9.713926,Infinity,-33.46884,9.014949,-17.67259,1.682725941,Infinity,Infinity
0.07000351,,0.06332165,-0.03588314,-0.0125347,-0.00679924,-0.006693557,0.004890185,-0.02089149,-2.321777,2.439484,1001.717,611.2966,64.42834473,63.88823318,-0.04072798,-0.1366768,0.9897781,-1.114502,9.343715,-26.79115,990.5842,617.0962,-0.05112059,-0.146148,0.9879404,31.07434,8.966373,Infinity,30.38566,7.857843,-15.94914,1.618802494,2.23E+59,2.23E+59,1012.849,605.497,-0.03044606,-0.1269496,0.9914416,-33.32306,9.713926,Infinity,-33.46884,9.014949,-17.67259,1.682725941,Infinity,Infinity
0.08000183,,-0.03362851,0.0484972,0.04625887,-0.01218779,-0.00871134,0.001707976,-0.0184583,-2.314453,2.435303,1000.836,611.9864,64.42933655,63.87889099,-0.03970641,-0.1380468,0.9896294,-1.116445,9.335118,-26.78334,989.764,617.7563,-0.05030712,-0.147277,0.9878147,31.07532,8.968621,Infinity,30.38969,7.844735,-15.94734,1.618201553,2.12E+59,2.12E+59,1011.908,606.2165,-0.02951485,-0.1281812,0.9913111,-33.32326,9.711176,Infinity,-33.45593,8.987154,-17.66318,1.672101607,Infinity,Infinity
0.09000015,,-0.05376514,0.08683736,-0.07687709,-0.0186,-0.005599999,-0.00038957,-0.0176265,-2.30426,2.429504,1001.408,608.9237,64.43064117,63.89421082,-0.04066407,-0.1311715,0.9905254,-1.11682,9.340911,-26.77418,990.3348,616.0781,-0.05088748,-0.1444233,0.9882055,31.07643,8.971946,Infinity,30.38577,7.898744,-15.93893,1.624610267,2.01E+59,2.01E+59,1012.481,601.7693,-0.03011167,-0.1204915,0.9922499,-33.32365,9.707953,Infinity,-33.47504,9.067377,-17.64199,1.708518548,Infinity,Infinity
0.1000023,,-0.02613787,0.08454708,-0.006199198,-0.008869089,-0.00335961,-0.000386503,-0.0176265,-2.30426,2.429504,1001.408,608.9237,64.43064117,63.89421082,-0.04066407,-0.1311715,0.9905254,-1.11682,9.340911,-26.77418,990.3348,616.0781,-0.05088748,-0.1444233,0.9882055,31.07643,8.971946,Infinity,30.38577,7.898744,-15.93893,1.624610267,2.01E+59,2.01E+59,1012.481,601.7693,-0.03011167,-0.1204915,0.9922499,-33.32365,9.707953,Infinity,-33.47504,9.067377,-17.64199,1.708518548,Infinity,Infinity
0.1100006,,-0.03867232,0.1162899,0.0690265,0.001673281,-0.00246804,-0.001504295,-0.01781577,-2.298004,2.425659,1001.016,609.46,64.43228912,63.87164307,-0.04002889,-0.1336514,0.9902197,-1.116305,9.345591,-26.76401,991.0691,616.4213,-0.05160689,-0.1450296,0.9880802,31.07773,8.976121,Infinity,30.38254,7.90752,-15.93583,1.631328871,1.91E+59,1.91E+59,1010.963,602.4988,-0.02861016,-0.1217464,0.9921468,-33.32422,9.704342,Infinity,-33.45688,9.023731,-17.62962,1.687924989,Infinity,Infinity
0.1200027,,-0.01843267,0.05155266,0.1309294,-0.002526715,0.000731959,0.003795706,-0.01658503,-2.294922,2.422974,1001.137,609.9726,64.43404388,63.87998962,-0.04027119,-0.1345253,0.9900915,-1.115058,9.349779,-26.75482,991.2047,617.5915,-0.05172883,-0.1470539,0.9877743,31.07912,8.981092,Infinity,30.3851,7.909096,-15.93312,1.62014533,1.82E+59,1.82E+59,1011.07,602.3537,-0.02871614,-0.1214832,0.9921776,-33.32479,9.700325,Infinity,-33.46308,9.01783,-17.61628,1.685278638,Infinity,Infinity
