         Z-score            prob
        6.397118        0.007194
        5.599353        0.014388
        5.510744        0.021583
        5.278498        0.028777
        5.018620        0.035971
        4.695682        0.043165
        4.546801        0.050360
        4.440198        0.057554
        4.349265        0.064748
        4.214874        0.071942
        4.099542        0.079137
        4.082131        0.086331
        3.996834        0.093525
        3.995190        0.100719
        3.910513        0.107914
        3.851733        0.115108
        3.831822        0.122302
        3.808019        0.129496
        3.782708        0.136691
        3.673891        0.143885
        3.660066        0.151079
        3.643566        0.158273
        3.591758        0.165468
        3.550538        0.172662
        3.453063        0.179856
        3.452844        0.187050
        3.437698        0.194245
        3.382980        0.201439
        3.357162        0.208633
        3.345083        0.215827
        3.318978        0.223022
        3.274833        0.230216
        3.269933        0.237410
        3.234378        0.244604
        3.215772        0.251799
        3.151443        0.258993
        3.137048        0.266187
        3.101025        0.273381
        3.098475        0.280576
        3.079349        0.287770
        3.054489        0.294964
        3.053378        0.302158
        3.051076        0.309353
        3.050893        0.316547
        3.046895        0.323741
        3.043457        0.330935
        3.040711        0.338129
        3.040273        0.345324
        3.011908        0.352518
        3.000742        0.359712
        3.000444        0.366906
        3.000167        0.374101
        2.990601        0.381295
        2.983163        0.388489
        2.980158        0.395683
        2.973656        0.402878
        2.969986        0.410072
        2.949810        0.417266
        2.935705        0.424460
        2.928640        0.431655
        2.916568        0.438849
        2.908178        0.446043
        2.900001        0.453237
        2.885785        0.460432
        2.872597        0.467626
        2.868357        0.474820
        2.840232        0.482014
        2.828436        0.489209
        2.802628        0.496403
        2.797025        0.503597
        2.785043        0.510791
        2.776033        0.517986
        2.760860        0.525180
        2.757251        0.532374
        2.739864        0.539568
        2.720549        0.546763
        2.712578        0.553957
        2.709889        0.561151
        2.688710        0.568345
        2.685082        0.575540
        2.682547        0.582734
        2.679559        0.589928
        2.667635        0.597122
        2.622998        0.604317
        2.611963        0.611511
        2.588370        0.618705
        2.580825        0.625899
        2.579963        0.633094
        2.556058        0.640288
        2.552671        0.647482
        2.547873        0.654676
        2.538841        0.661871
        2.522982        0.669065
        2.515335        0.676259
        2.505103        0.683453
        2.503878        0.690647
        2.485393        0.697842
        2.485160        0.705036
        2.469340        0.712230
        2.464447        0.719424
        2.460170        0.726619
        2.456435        0.733813
        2.410470        0.741007
        2.354314        0.748201
        2.326138        0.755396
        2.324893        0.762590
        2.322737        0.769784
        2.317850        0.776978
        2.309880        0.784173
        2.279995        0.791367
        2.253533        0.798561
        2.250609        0.805755
        2.245020        0.812950
        2.239017        0.820144
        2.238430        0.827338
        2.236969        0.834532
        2.199459        0.841727
        2.189464        0.848921
        2.186183        0.856115
        2.185220        0.863309
        2.156016        0.870504
        2.136471        0.877698
        2.120786        0.884892
        2.118588        0.892086
        2.109320        0.899281
        2.063766        0.906475
        2.050875        0.913669
        2.039924        0.920863
        2.033395        0.928058
        2.026342        0.935252
        2.022794        0.942446
        2.009531        0.949640
        2.009401        0.956835
        1.949639        0.964029
        1.918154        0.971223
        1.903012        0.978417
        1.885739        0.985612
        1.804966        0.992806
