         Z-score            prob
        7.070886        0.007194
        6.642351        0.014388
        6.567807        0.021583
        6.036973        0.028777
        5.750515        0.035971
        5.619287        0.043165
        5.608147        0.050360
        5.502592        0.057554
        5.451185        0.064748
        5.233762        0.071942
        5.057534        0.079137
        4.994247        0.086331
        4.819349        0.093525
        4.795541        0.100719
        4.753074        0.107914
        4.745051        0.115108
        4.661826        0.122302
        4.599732        0.129496
        4.567084        0.136691
        4.526494        0.143885
        4.480377        0.151079
        4.430357        0.158273
        4.284840        0.165468
        4.271407        0.172662
        4.203825        0.179856
        4.149496        0.187050
        4.138435        0.194245
        4.124436        0.201439
        4.097324        0.208633
        4.095806        0.215827
        4.043240        0.223022
        4.037535        0.230216
        4.034541        0.237410
        4.033870        0.244604
        4.032807        0.251799
        4.015268        0.258993
        4.001712        0.266187
        3.999825        0.273381
        3.993505        0.280576
        3.959937        0.287770
        3.957541        0.294964
        3.945776        0.302158
        3.883557        0.309353
        3.877482        0.316547
        3.873220        0.323741
        3.857882        0.330935
        3.839649        0.338129
        3.813126        0.345324
        3.792053        0.352518
        3.791235        0.359712
        3.784283        0.366906
        3.763708        0.374101
        3.750309        0.381295
        3.729583        0.388489
        3.725018        0.395683
        3.719316        0.402878
        3.718047        0.410072
        3.716449        0.417266
        3.710622        0.424460
        3.705128        0.431655
        3.695066        0.438849
        3.684973        0.446043
        3.678849        0.453237
        3.664298        0.460432
        3.656024        0.467626
        3.648435        0.474820
        3.638041        0.482014
        3.589843        0.489209
        3.581914        0.496403
        3.556222        0.503597
        3.524225        0.510791
        3.523406        0.517986
        3.521068        0.525180
        3.521004        0.532374
        3.515419        0.539568
        3.514714        0.546763
        3.512126        0.553957
        3.505110        0.561151
        3.495493        0.568345
        3.482568        0.575540
        3.471452        0.582734
        3.457366        0.589928
        3.423574        0.597122
        3.420840        0.604317
        3.399716        0.611511
        3.387378        0.618705
        3.364316        0.625899
        3.343439        0.633094
        3.336000        0.640288
        3.318530        0.647482
        3.314599        0.654676
        3.301833        0.661871
        3.301286        0.669065
        3.278545        0.676259
        3.275448        0.683453
        3.274679        0.690647
        3.252014        0.697842
        3.231441        0.705036
        3.226116        0.712230
        3.217168        0.719424
        3.192636        0.726619
        3.172762        0.733813
        3.170671        0.741007
        3.157999        0.748201
        3.148596        0.755396
        3.138069        0.762590
        3.118598        0.769784
        3.114504        0.776978
        3.110005        0.784173
        3.101685        0.791367
        3.099242        0.798561
        3.098403        0.805755
        3.084786        0.812950
        3.072572        0.820144
        3.060161        0.827338
        3.054458        0.834532
        3.033831        0.841727
        3.029873        0.848921
        3.001369        0.856115
        2.968456        0.863309
        2.954653        0.870504
        2.934334        0.877698
        2.924865        0.884892
        2.920800        0.892086
        2.834379        0.899281
        2.749345        0.906475
        2.720946        0.913669
        2.697762        0.920863
        2.682527        0.928058
        2.620798        0.935252
        2.583939        0.942446
        2.556163        0.949640
        2.528543        0.956835
        2.406276        0.964029
        2.297564        0.971223
        2.189708        0.978417
        2.170084        0.985612
        2.165569        0.992806
