         Z-score            prob
        6.776476        0.007194
        6.197457        0.014388
        5.369540        0.021583
        5.100825        0.028777
        5.096697        0.035971
        5.056525        0.043165
        5.007972        0.050360
        4.882819        0.057554
        4.858352        0.064748
        4.759854        0.071942
        4.660694        0.079137
        4.592903        0.086331
        4.581425        0.093525
        4.575850        0.100719
        4.558534        0.107914
        4.557269        0.115108
        4.554802        0.122302
        4.500369        0.129496
        4.379971        0.136691
        4.372858        0.143885
        4.342102        0.151079
        4.303356        0.158273
        4.291484        0.165468
        4.247077        0.172662
        4.212449        0.179856
        4.136553        0.187050
        4.134881        0.194245
        4.119451        0.201439
        4.113234        0.208633
        4.057504        0.215827
        4.042020        0.223022
        4.034868        0.230216
        4.008646        0.237410
        3.941697        0.244604
        3.897388        0.251799
        3.881140        0.258993
        3.871828        0.266187
        3.846134        0.273381
        3.830743        0.280576
        3.818879        0.287770
        3.802699        0.294964
        3.794195        0.302158
        3.788675        0.309353
        3.759851        0.316547
        3.731208        0.323741
        3.680833        0.330935
        3.661509        0.338129
        3.656705        0.345324
        3.619894        0.352518
        3.575809        0.359712
        3.567596        0.366906
        3.564217        0.374101
        3.558437        0.381295
        3.463485        0.388489
        3.462846        0.395683
        3.461912        0.402878
        3.459190        0.410072
        3.447569        0.417266
        3.444691        0.424460
        3.425911        0.431655
        3.425471        0.438849
        3.425214        0.446043
        3.421638        0.453237
        3.415962        0.460432
        3.408808        0.467626
        3.395145        0.474820
        3.368327        0.482014
        3.345562        0.489209
        3.338359        0.496403
        3.321248        0.503597
        3.287645        0.510791
        3.277690        0.517986
        3.247298        0.525180
        3.242990        0.532374
        3.221830        0.539568
        3.215636        0.546763
        3.212384        0.553957
        3.193469        0.561151
        3.169354        0.568345
        3.166214        0.575540
        3.164845        0.582734
        3.150783        0.589928
        3.140227        0.597122
        3.121572        0.604317
        3.100682        0.611511
        3.096938        0.618705
        3.093237        0.625899
        3.086858        0.633094
        3.075187        0.640288
        3.072703        0.647482
        3.069232        0.654676
        3.067787        0.661871
        3.060333        0.669065
        3.059716        0.676259
        3.036462        0.683453
        3.013182        0.690647
        3.011997        0.697842
        3.008545        0.705036
        2.998794        0.712230
        2.996144        0.719424
        2.980393        0.726619
        2.939157        0.733813
        2.930711        0.741007
        2.891311        0.748201
        2.875646        0.755396
        2.849888        0.762590
        2.846477        0.769784
        2.844771        0.776978
        2.824003        0.784173
        2.771991        0.791367
        2.768922        0.798561
        2.765406        0.805755
        2.757771        0.812950
        2.746801        0.820144
        2.730816        0.827338
        2.698011        0.834532
        2.687513        0.841727
        2.675916        0.848921
        2.654197        0.856115
        2.652250        0.863309
        2.646848        0.870504
        2.644370        0.877698
        2.620862        0.884892
        2.599906        0.892086
        2.591032        0.899281
        2.560491        0.906475
        2.558458        0.913669
        2.529902        0.920863
        2.423711        0.928058
        2.422038        0.935252
        2.416652        0.942446
        2.413605        0.949640
        2.388960        0.956835
        2.386377        0.964029
        2.383958        0.971223
        2.379610        0.978417
        2.359744        0.985612
        2.252366        0.992806
