         Z-score            prob
        6.557498        0.007194
        6.041599        0.014388
        5.327360        0.021583
        5.132608        0.028777
        4.910826        0.035971
        4.853052        0.043165
        4.766750        0.050360
        4.745976        0.057554
        4.742537        0.064748
        4.614307        0.071942
        4.593673        0.079137
        4.522378        0.086331
        4.462179        0.093525
        4.423828        0.100719
        4.399119        0.107914
        4.361388        0.115108
        4.221622        0.122302
        4.191370        0.129496
        4.184746        0.136691
        4.137160        0.143885
        4.116269        0.151079
        4.001234        0.158273
        3.974284        0.165468
        3.952051        0.172662
        3.943669        0.179856
        3.924166        0.187050
        3.892125        0.194245
        3.889821        0.201439
        3.878411        0.208633
        3.866456        0.215827
        3.863518        0.223022
        3.815770        0.230216
        3.801814        0.237410
        3.788835        0.244604
        3.778368        0.251799
        3.769696        0.258993
        3.744618        0.266187
        3.734238        0.273381
        3.711185        0.280576
        3.707487        0.287770
        3.702173        0.294964
        3.698997        0.302158
        3.674731        0.309353
        3.670188        0.316547
        3.662059        0.323741
        3.654073        0.330935
        3.643460        0.338129
        3.610181        0.345324
        3.599728        0.352518
        3.599111        0.359712
        3.596817        0.366906
        3.585034        0.374101
        3.558755        0.381295
        3.548076        0.388489
        3.534206        0.395683
        3.517493        0.402878
        3.516829        0.410072
        3.510863        0.417266
        3.501685        0.424460
        3.476776        0.431655
        3.476747        0.438849
        3.476377        0.446043
        3.475968        0.453237
        3.470361        0.460432
        3.452819        0.467626
        3.449993        0.474820
        3.443717        0.482014
        3.422395        0.489209
        3.399543        0.496403
        3.397700        0.503597
        3.376870        0.510791
        3.356675        0.517986
        3.350473        0.525180
        3.318999        0.532374
        3.309540        0.539568
        3.304309        0.546763
        3.301852        0.553957
        3.297384        0.561151
        3.295554        0.568345
        3.294109        0.575540
        3.255121        0.582734
        3.222010        0.589928
        3.205432        0.597122
        3.191282        0.604317
        3.167369        0.611511
        3.166009        0.618705
        3.143101        0.625899
        3.140800        0.633094
        3.138639        0.640288
        3.131544        0.647482
        3.115522        0.654676
        3.088074        0.661871
        3.087287        0.669065
        3.061870        0.676259
        3.053462        0.683453
        3.047891        0.690647
        3.041148        0.697842
        3.021624        0.705036
        3.020716        0.712230
        2.985000        0.719424
        2.966494        0.726619
        2.964200        0.733813
        2.947553        0.741007
        2.940090        0.748201
        2.935766        0.755396
        2.929152        0.762590
        2.922569        0.769784
        2.920284        0.776978
        2.913651        0.784173
        2.888809        0.791367
        2.887971        0.798561
        2.887362        0.805755
        2.884583        0.812950
        2.855195        0.820144
        2.849248        0.827338
        2.846471        0.834532
        2.827452        0.841727
        2.826381        0.848921
        2.793103        0.856115
        2.774466        0.863309
        2.744497        0.870504
        2.740702        0.877698
        2.705797        0.884892
        2.622246        0.892086
        2.608651        0.899281
        2.602635        0.906475
        2.589697        0.913669
        2.586407        0.920863
        2.571881        0.928058
        2.560312        0.935252
        2.554384        0.942446
        2.465184        0.949640
        2.390028        0.956835
        2.332775        0.964029
        2.313419        0.971223
        2.303889        0.978417
        2.289884        0.985612
        2.245591        0.992806
