         Z-score            prob
        6.187222        0.007194
        5.636713        0.014388
        5.534457        0.021583
        5.353645        0.028777
        4.860776        0.035971
        4.834092        0.043165
        4.623942        0.050360
        4.228418        0.057554
        4.226258        0.064748
        4.209227        0.071942
        4.051232        0.079137
        3.994727        0.086331
        3.977554        0.093525
        3.920160        0.100719
        3.890553        0.107914
        3.885439        0.115108
        3.846914        0.122302
        3.743916        0.129496
        3.726419        0.136691
        3.698392        0.143885
        3.651112        0.151079
        3.637990        0.158273
        3.580872        0.165468
        3.504300        0.172662
        3.477687        0.179856
        3.463127        0.187050
        3.458716        0.194245
        3.434057        0.201439
        3.305835        0.208633
        3.303205        0.215827
        3.276409        0.223022
        3.246401        0.230216
        3.220209        0.237410
        3.202371        0.244604
        3.137345        0.251799
        3.110855        0.258993
        3.065268        0.266187
        3.041028        0.273381
        3.040814        0.280576
        3.014678        0.287770
        2.995298        0.294964
        2.968651        0.302158
        2.966095        0.309353
        2.949356        0.316547
        2.922858        0.323741
        2.912470        0.330935
        2.898468        0.338129
        2.895179        0.345324
        2.894475        0.352518
        2.876453        0.359712
        2.873057        0.366906
        2.828980        0.374101
        2.818607        0.381295
        2.816982        0.388489
        2.814278        0.395683
        2.813194        0.402878
        2.804120        0.410072
        2.799181        0.417266
        2.796023        0.424460
        2.766217        0.431655
        2.761331        0.438849
        2.757218        0.446043
        2.748282        0.453237
        2.739938        0.460432
        2.723892        0.467626
        2.710210        0.474820
        2.702592        0.482014
        2.691223        0.489209
        2.686759        0.496403
        2.686208        0.503597
        2.680456        0.510791
        2.652375        0.517986
        2.644750        0.525180
        2.627439        0.532374
        2.613928        0.539568
        2.581131        0.546763
        2.577646        0.553957
        2.526387        0.561151
        2.524265        0.568345
        2.519992        0.575540
        2.502975        0.582734
        2.502363        0.589928
        2.496321        0.597122
        2.493122        0.604317
        2.491605        0.611511
        2.475310        0.618705
        2.471425        0.625899
        2.460409        0.633094
        2.443125        0.640288
        2.441043        0.647482
        2.434291        0.654676
        2.422441        0.661871
        2.416262        0.669065
        2.416198        0.676259
        2.391029        0.683453
        2.386649        0.690647
        2.384805        0.697842
        2.381750        0.705036
        2.364701        0.712230
        2.360810        0.719424
        2.359455        0.726619
        2.354892        0.733813
        2.334987        0.741007
        2.314245        0.748201
        2.311187        0.755396
        2.310030        0.762590
        2.308613        0.769784
        2.279137        0.776978
        2.272079        0.784173
        2.268235        0.791367
        2.235994        0.798561
        2.205508        0.805755
        2.168717        0.812950
        2.157799        0.820144
        2.150548        0.827338
        2.143928        0.834532
        2.135822        0.841727
        2.092519        0.848921
        2.085347        0.856115
        2.067890        0.863309
        2.062816        0.870504
        2.053619        0.877698
        2.049531        0.884892
        2.040550        0.892086
        2.033857        0.899281
        2.015360        0.906475
        1.998204        0.913669
        1.990058        0.920863
        1.958162        0.928058
        1.946410        0.935252
        1.925472        0.942446
        1.904993        0.949640
        1.869247        0.956835
        1.837384        0.964029
        1.813511        0.971223
        1.750466        0.978417
        1.737262        0.985612
        1.728685        0.992806
