         Z-score            prob
        7.161625        0.007194
        6.446762        0.014388
        5.603055        0.021583
        5.560905        0.028777
        5.524524        0.035971
        5.438947        0.043165
        5.404675        0.050360
        5.389843        0.057554
        5.288099        0.064748
        5.237422        0.071942
        5.161146        0.079137
        5.054599        0.086331
        4.827322        0.093525
        4.676889        0.100719
        4.582985        0.107914
        4.581146        0.115108
        4.513263        0.122302
        4.425961        0.129496
        4.397308        0.136691
        4.387290        0.143885
        4.340212        0.151079
        4.326110        0.158273
        4.309059        0.165468
        4.293800        0.172662
        4.229411        0.179856
        4.106342        0.187050
        4.098240        0.194245
        4.080657        0.201439
        4.016871        0.208633
        4.003559        0.215827
        3.988079        0.223022
        3.987931        0.230216
        3.980399        0.237410
        3.929458        0.244604
        3.927433        0.251799
        3.909710        0.258993
        3.907346        0.266187
        3.878378        0.273381
        3.856249        0.280576
        3.831894        0.287770
        3.822149        0.294964
        3.809603        0.302158
        3.801517        0.309353
        3.790209        0.316547
        3.771079        0.323741
        3.753018        0.330935
        3.746126        0.338129
        3.742965        0.345324
        3.724914        0.352518
        3.704374        0.359712
        3.687369        0.366906
        3.662401        0.374101
        3.661695        0.381295
        3.633184        0.388489
        3.632800        0.395683
        3.629128        0.402878
        3.617939        0.410072
        3.613940        0.417266
        3.595062        0.424460
        3.590012        0.431655
        3.575130        0.438849
        3.568177        0.446043
        3.546319        0.453237
        3.541090        0.460432
        3.540828        0.467626
        3.536824        0.474820
        3.517116        0.482014
        3.513026        0.489209
        3.511828        0.496403
        3.505452        0.503597
        3.499633        0.510791
        3.486768        0.517986
        3.453050        0.525180
        3.451025        0.532374
        3.443932        0.539568
        3.428406        0.546763
        3.386582        0.553957
        3.375280        0.561151
        3.361201        0.568345
        3.358680        0.575540
        3.352176        0.582734
        3.325460        0.589928
        3.322105        0.597122
        3.317931        0.604317
        3.308723        0.611511
        3.272502        0.618705
        3.244660        0.625899
        3.232368        0.633094
        3.231058        0.640288
        3.225712        0.647482
        3.218907        0.654676
        3.217550        0.661871
        3.214364        0.669065
        3.208387        0.676259
        3.207559        0.683453
        3.203729        0.690647
        3.203587        0.697842
        3.181653        0.705036
        3.165249        0.712230
        3.138956        0.719424
        3.137480        0.726619
        3.122879        0.733813
        3.117081        0.741007
        3.105312        0.748201
        3.075926        0.755396
        3.055943        0.762590
        3.054670        0.769784
        3.050938        0.776978
        3.049636        0.784173
        2.996926        0.791367
        2.972679        0.798561
        2.942075        0.805755
        2.941530        0.812950
        2.938586        0.820144
        2.901046        0.827338
        2.897487        0.834532
        2.890223        0.841727
        2.876900        0.848921
        2.861780        0.856115
        2.849636        0.863309
        2.846452        0.870504
        2.832560        0.877698
        2.829822        0.884892
        2.827314        0.892086
        2.801424        0.899281
        2.758184        0.906475
        2.655644        0.913669
        2.614475        0.920863
        2.570404        0.928058
        2.549974        0.935252
        2.456017        0.942446
        2.453449        0.949640
        2.433197        0.956835
        2.397564        0.964029
        2.296904        0.971223
        2.295579        0.978417
        2.204765        0.985612
        2.113194        0.992806
