         Z-score            prob
        7.816713        0.007194
        6.087665        0.014388
        5.230683        0.021583
        5.159070        0.028777
        5.005963        0.035971
        4.994990        0.043165
        4.819245        0.050360
        4.747558        0.057554
        4.739926        0.064748
        4.730501        0.071942
        4.567192        0.079137
        4.507418        0.086331
        4.437224        0.093525
        4.423444        0.100719
        4.302341        0.107914
        4.277190        0.115108
        4.273137        0.122302
        4.263776        0.129496
        4.254517        0.136691
        4.212076        0.143885
        4.187817        0.151079
        4.072971        0.158273
        4.061269        0.165468
        4.053350        0.172662
        4.043928        0.179856
        3.994192        0.187050
        3.952576        0.194245
        3.926606        0.201439
        3.925437        0.208633
        3.824875        0.215827
        3.805126        0.223022
        3.779876        0.230216
        3.765653        0.237410
        3.721468        0.244604
        3.718688        0.251799
        3.708608        0.258993
        3.672172        0.266187
        3.662475        0.273381
        3.648641        0.280576
        3.625369        0.287770
        3.613611        0.294964
        3.592810        0.302158
        3.581018        0.309353
        3.563636        0.316547
        3.532028        0.323741
        3.529902        0.330935
        3.528754        0.338129
        3.490136        0.345324
        3.472395        0.352518
        3.465802        0.359712
        3.463380        0.366906
        3.430852        0.374101
        3.412519        0.381295
        3.410576        0.388489
        3.371075        0.395683
        3.364599        0.402878
        3.354972        0.410072
        3.346537        0.417266
        3.338099        0.424460
        3.327291        0.431655
        3.313066        0.438849
        3.279506        0.446043
        3.279115        0.453237
        3.278998        0.460432
        3.278981        0.467626
        3.254300        0.474820
        3.242195        0.482014
        3.236716        0.489209
        3.235408        0.496403
        3.216437        0.503597
        3.185651        0.510791
        3.185544        0.517986
        3.184998        0.525180
        3.180109        0.532374
        3.175695        0.539568
        3.172804        0.546763
        3.171073        0.553957
        3.125774        0.561151
        3.115773        0.568345
        3.088004        0.575540
        3.074078        0.582734
        3.066801        0.589928
        3.061372        0.597122
        3.054290        0.604317
        3.051277        0.611511
        3.032685        0.618705
        3.023429        0.625899
        3.017946        0.633094
        3.005446        0.640288
        3.002751        0.647482
        2.949839        0.654676
        2.919152        0.661871
        2.902197        0.669065
        2.896390        0.676259
        2.853866        0.683453
        2.853829        0.690647
        2.845739        0.697842
        2.809230        0.705036
        2.784758        0.712230
        2.779717        0.719424
        2.778662        0.726619
        2.767268        0.733813
        2.754971        0.741007
        2.737075        0.748201
        2.736102        0.755396
        2.721042        0.762590
        2.701352        0.769784
        2.686292        0.776978
        2.675229        0.784173
        2.666351        0.791367
        2.638574        0.798561
        2.611500        0.805755
        2.594555        0.812950
        2.592684        0.820144
        2.569417        0.827338
        2.569142        0.834532
        2.565338        0.841727
        2.554583        0.848921
        2.552878        0.856115
        2.519866        0.863309
        2.503571        0.870504
        2.465015        0.877698
        2.456287        0.884892
        2.451897        0.892086
        2.406104        0.899281
        2.389972        0.906475
        2.377640        0.913669
        2.363309        0.920863
        2.352975        0.928058
        2.333508        0.935252
        2.327318        0.942446
        2.326926        0.949640
        2.276962        0.956835
        2.254429        0.964029
        2.245200        0.971223
        2.215679        0.978417
        2.125132        0.985612
        1.976940        0.992806
