         Z-score            prob
        6.852838        0.007194
        6.118865        0.014388
        5.981164        0.021583
        5.756364        0.028777
        4.976905        0.035971
        4.883098        0.043165
        4.875445        0.050360
        4.690859        0.057554
        4.609422        0.064748
        4.594145        0.071942
        4.561451        0.079137
        4.454846        0.086331
        4.453870        0.093525
        4.314064        0.100719
        4.274379        0.107914
        4.163652        0.115108
        4.103597        0.122302
        4.083171        0.129496
        4.024678        0.136691
        4.014188        0.143885
        3.984827        0.151079
        3.952250        0.158273
        3.939523        0.165468
        3.915978        0.172662
        3.908116        0.179856
        3.899031        0.187050
        3.862036        0.194245
        3.848219        0.201439
        3.828257        0.208633
        3.813218        0.215827
        3.785459        0.223022
        3.781190        0.230216
        3.769934        0.237410
        3.738702        0.244604
        3.731911        0.251799
        3.723129        0.258993
        3.719248        0.266187
        3.705456        0.273381
        3.701079        0.280576
        3.693221        0.287770
        3.670722        0.294964
        3.668722        0.302158
        3.606993        0.309353
        3.600888        0.316547
        3.565271        0.323741
        3.555030        0.330935
        3.539809        0.338129
        3.531930        0.345324
        3.526845        0.352518
        3.506768        0.359712
        3.494950        0.366906
        3.478254        0.374101
        3.474198        0.381295
        3.440540        0.388489
        3.423556        0.395683
        3.418983        0.402878
        3.400761        0.410072
        3.396052        0.417266
        3.390312        0.424460
        3.379169        0.431655
        3.365971        0.438849
        3.333432        0.446043
        3.328213        0.453237
        3.314667        0.460432
        3.308446        0.467626
        3.307249        0.474820
        3.277762        0.482014
        3.275432        0.489209
        3.265871        0.496403
        3.232265        0.503597
        3.224848        0.510791
        3.224771        0.517986
        3.218775        0.525180
        3.208952        0.532374
        3.203354        0.539568
        3.198302        0.546763
        3.183835        0.553957
        3.179462        0.561151
        3.162795        0.568345
        3.157407        0.575540
        3.150893        0.582734
        3.133442        0.589928
        3.117783        0.597122
        3.113498        0.604317
        3.093541        0.611511
        3.084961        0.618705
        3.078947        0.625899
        3.077269        0.633094
        3.061950        0.640288
        3.050831        0.647482
        3.022870        0.654676
        3.017631        0.661871
        3.013608        0.669065
        2.998283        0.676259
        2.994868        0.683453
        2.980059        0.690647
        2.969889        0.697842
        2.969616        0.705036
        2.942633        0.712230
        2.939590        0.719424
        2.935075        0.726619
        2.930403        0.733813
        2.912331        0.741007
        2.905248        0.748201
        2.902273        0.755396
        2.902133        0.762590
        2.872468        0.769784
        2.856716        0.776978
        2.831159        0.784173
        2.830631        0.791367
        2.814846        0.798561
        2.813397        0.805755
        2.804858        0.812950
        2.801348        0.820144
        2.783756        0.827338
        2.782220        0.834532
        2.771024        0.841727
        2.770626        0.848921
        2.769115        0.856115
        2.724284        0.863309
        2.708773        0.870504
        2.681872        0.877698
        2.650434        0.884892
        2.637293        0.892086
        2.608970        0.899281
        2.556292        0.906475
        2.527224        0.913669
        2.520128        0.920863
        2.483206        0.928058
        2.463701        0.935252
        2.435524        0.942446
        2.426911        0.949640
        2.376590        0.956835
        2.351229        0.964029
        2.327623        0.971223
        2.216773        0.978417
        2.195044        0.985612
        2.177124        0.992806
