         Z-score            prob
        4.497487        0.007194
        4.317767        0.014388
        4.249131        0.021583
        4.117123        0.028777
        3.983581        0.035971
        3.875618        0.043165
        3.804871        0.050360
        3.711625        0.057554
        3.648242        0.064748
        3.571891        0.071942
        3.526395        0.079137
        3.507146        0.086331
        3.457876        0.093525
        3.331136        0.100719
        3.277757        0.107914
        3.195884        0.115108
        3.146906        0.122302
        3.143662        0.129496
        3.121091        0.136691
        3.018841        0.143885
        2.907809        0.151079
        2.876271        0.158273
        2.848584        0.165468
        2.837409        0.172662
        2.822849        0.179856
        2.803478        0.187050
        2.798573        0.194245
        2.778288        0.201439
        2.772469        0.208633
        2.752177        0.215827
        2.723397        0.223022
        2.720259        0.230216
        2.705825        0.237410
        2.637557        0.244604
        2.597091        0.251799
        2.592817        0.258993
        2.589026        0.266187
        2.588324        0.273381
        2.577557        0.280576
        2.575739        0.287770
        2.570493        0.294964
        2.563424        0.302158
        2.561386        0.309353
        2.518270        0.316547
        2.507356        0.323741
        2.499941        0.330935
        2.479400        0.338129
        2.460781        0.345324
        2.453371        0.352518
        2.430914        0.359712
        2.429311        0.366906
        2.412832        0.374101
        2.411569        0.381295
        2.410798        0.388489
        2.409029        0.395683
        2.400930        0.402878
        2.389677        0.410072
        2.369598        0.417266
        2.367911        0.424460
        2.363672        0.431655
        2.343773        0.438849
        2.322275        0.446043
        2.321590        0.453237
        2.314256        0.460432
        2.290599        0.467626
        2.248839        0.474820
        2.246655        0.482014
        2.240161        0.489209
        2.231184        0.496403
        2.212645        0.503597
        2.205945        0.510791
        2.203923        0.517986
        2.201235        0.525180
        2.179992        0.532374
        2.156964        0.539568
        2.138813        0.546763
        2.135594        0.553957
        2.103806        0.561151
        2.101974        0.568345
        2.101412        0.575540
        2.094083        0.582734
        2.082681        0.589928
        2.077595        0.597122
        2.068328        0.604317
        2.065237        0.611511
        2.062504        0.618705
        2.015089        0.625899
        2.013448        0.633094
        1.993937        0.640288
        1.980712        0.647482
        1.975030        0.654676
        1.965845        0.661871
        1.964476        0.669065
        1.957058        0.676259
        1.937054        0.683453
        1.931595        0.690647
        1.931080        0.697842
        1.912638        0.705036
        1.901045        0.712230
        1.898166        0.719424
        1.897577        0.726619
        1.896543        0.733813
        1.891106        0.741007
        1.883938        0.748201
        1.875232        0.755396
        1.866573        0.762590
        1.865780        0.769784
        1.853731        0.776978
        1.853260        0.784173
        1.850992        0.791367
        1.833768        0.798561
        1.825913        0.805755
        1.803861        0.812950
        1.799301        0.820144
        1.790656        0.827338
        1.787211        0.834532
        1.785159        0.841727
        1.774827        0.848921
        1.766600        0.856115
        1.753457        0.863309
        1.746169        0.870504
        1.742483        0.877698
        1.729485        0.884892
        1.707513        0.892086
        1.654330        0.899281
        1.629477        0.906475
        1.622292        0.913669
        1.609255        0.920863
        1.608435        0.928058
        1.587383        0.935252
        1.571254        0.942446
        1.564540        0.949640
        1.553388        0.956835
        1.547251        0.964029
        1.525543        0.971223
        1.491167        0.978417
        1.430235        0.985612
        1.364754        0.992806
