         Z-score            prob
        6.031152        0.007194
        5.915978        0.014388
        5.121242        0.021583
        4.839529        0.028777
        4.381963        0.035971
        4.358845        0.043165
        4.333030        0.050360
        4.242821        0.057554
        4.069752        0.064748
        4.043310        0.071942
        4.037380        0.079137
        3.966944        0.086331
        3.933093        0.093525
        3.923759        0.100719
        3.875736        0.107914
        3.872986        0.115108
        3.870718        0.122302
        3.838519        0.129496
        3.787212        0.136691
        3.776085        0.143885
        3.749167        0.151079
        3.697386        0.158273
        3.696204        0.165468
        3.684848        0.172662
        3.645266        0.179856
        3.620659        0.187050
        3.604666        0.194245
        3.560025        0.201439
        3.555037        0.208633
        3.552001        0.215827
        3.498803        0.223022
        3.498207        0.230216
        3.475378        0.237410
        3.439993        0.244604
        3.432932        0.251799
        3.431246        0.258993
        3.425852        0.266187
        3.370842        0.273381
        3.359301        0.280576
        3.357055        0.287770
        3.345751        0.294964
        3.344003        0.302158
        3.316911        0.309353
        3.307579        0.316547
        3.288813        0.323741
        3.287380        0.330935
        3.280361        0.338129
        3.265425        0.345324
        3.243357        0.352518
        3.238695        0.359712
        3.233620        0.366906
        3.222268        0.374101
        3.184923        0.381295
        3.162291        0.388489
        3.151551        0.395683
        3.127891        0.402878
        3.114302        0.410072
        3.110438        0.417266
        3.106641        0.424460
        3.085224        0.431655
        3.040781        0.438849
        3.035666        0.446043
        3.025766        0.453237
        3.012527        0.460432
        3.012342        0.467626
        2.987139        0.474820
        2.985071        0.482014
        2.978641        0.489209
        2.968300        0.496403
        2.955861        0.503597
        2.947578        0.510791
        2.932014        0.517986
        2.931261        0.525180
        2.926695        0.532374
        2.925010        0.539568
        2.899534        0.546763
        2.896230        0.553957
        2.876668        0.561151
        2.870494        0.568345
        2.870200        0.575540
        2.850521        0.582734
        2.826486        0.589928
        2.826355        0.597122
        2.816576        0.604317
        2.789934        0.611511
        2.770089        0.618705
        2.757368        0.625899
        2.743072        0.633094
        2.734363        0.640288
        2.709016        0.647482
        2.702734        0.654676
        2.700947        0.661871
        2.689431        0.669065
        2.686558        0.676259
        2.670686        0.683453
        2.625376        0.690647
        2.623846        0.697842
        2.607019        0.705036
        2.573200        0.712230
        2.568796        0.719424
        2.561037        0.726619
        2.558861        0.733813
        2.557922        0.741007
        2.551982        0.748201
        2.551083        0.755396
        2.543861        0.762590
        2.535518        0.769784
        2.530214        0.776978
        2.521398        0.784173
        2.506606        0.791367
        2.493548        0.798561
        2.459964        0.805755
        2.458491        0.812950
        2.451030        0.820144
        2.407618        0.827338
        2.396091        0.834532
        2.394548        0.841727
        2.373505        0.848921
        2.344022        0.856115
        2.337984        0.863309
        2.329050        0.870504
        2.307330        0.877698
        2.283542        0.884892
        2.239226        0.892086
        2.215659        0.899281
        2.188694        0.906475
        2.132460        0.913669
        2.120068        0.920863
        2.104246        0.928058
        2.090875        0.935252
        2.015740        0.942446
        1.893049        0.949640
        1.886823        0.956835
        1.882882        0.964029
        1.746717        0.971223
        1.711772        0.978417
        1.628462        0.985612
        1.584409        0.992806
