         Z-score            prob
        7.267347        0.007194
        5.913455        0.014388
        5.649039        0.021583
        5.300961        0.028777
        5.271489        0.035971
        5.148097        0.043165
        4.380519        0.050360
        3.905488        0.057554
        3.861081        0.064748
        3.708555        0.071942
        3.658685        0.079137
        3.638827        0.086331
        3.626247        0.093525
        3.619027        0.100719
        3.570562        0.107914
        3.521679        0.115108
        3.456518        0.122302
        3.444494        0.129496
        3.434567        0.136691
        3.328652        0.143885
        3.295369        0.151079
        3.256622        0.158273
        3.252177        0.165468
        3.228308        0.172662
        3.201351        0.179856
        3.192367        0.187050
        3.163684        0.194245
        3.144887        0.201439
        3.134455        0.208633
        3.126083        0.215827
        3.064294        0.223022
        3.060586        0.230216
        3.026372        0.237410
        2.997541        0.244604
        2.976930        0.251799
        2.964623        0.258993
        2.956718        0.266187
        2.945723        0.273381
        2.931602        0.280576
        2.923160        0.287770
        2.914379        0.294964
        2.875039        0.302158
        2.851618        0.309353
        2.816359        0.316547
        2.793445        0.323741
        2.791499        0.330935
        2.787682        0.338129
        2.766262        0.345324
        2.755585        0.352518
        2.722134        0.359712
        2.719665        0.366906
        2.695795        0.374101
        2.675755        0.381295
        2.662232        0.388489
        2.644436        0.395683
        2.637206        0.402878
        2.634505        0.410072
        2.626181        0.417266
        2.622689        0.424460
        2.621862        0.431655
        2.611777        0.438849
        2.606551        0.446043
        2.603829        0.453237
        2.587102        0.460432
        2.582933        0.467626
        2.574296        0.474820
        2.572199        0.482014
        2.542309        0.489209
        2.529724        0.496403
        2.512921        0.503597
        2.504969        0.510791
        2.498235        0.517986
        2.491553        0.525180
        2.487833        0.532374
        2.486674        0.539568
        2.486348        0.546763
        2.479362        0.553957
        2.460599        0.561151
        2.436989        0.568345
        2.436671        0.575540
        2.432410        0.582734
        2.430796        0.589928
        2.399118        0.597122
        2.391144        0.604317
        2.381764        0.611511
        2.360800        0.618705
        2.346483        0.625899
        2.322535        0.633094
        2.310264        0.640288
        2.284891        0.647482
        2.262758        0.654676
        2.262479        0.661871
        2.255018        0.669065
        2.254664        0.676259
        2.253857        0.683453
        2.239635        0.690647
        2.237399        0.697842
        2.221615        0.705036
        2.201737        0.712230
        2.157595        0.719424
        2.143823        0.726619
        2.135229        0.733813
        2.101091        0.741007
        2.096641        0.748201
        2.079787        0.755396
        2.071409        0.762590
        2.063883        0.769784
        2.027125        0.776978
        2.017762        0.784173
        2.006522        0.791367
        2.003134        0.798561
        1.963022        0.805755
        1.945207        0.812950
        1.942006        0.820144
        1.940681        0.827338
        1.927142        0.834532
        1.924234        0.841727
        1.919877        0.848921
        1.910235        0.856115
        1.904468        0.863309
        1.897878        0.870504
        1.869417        0.877698
        1.868159        0.884892
        1.859380        0.892086
        1.853014        0.899281
        1.837876        0.906475
        1.836482        0.913669
        1.806018        0.920863
        1.777632        0.928058
        1.742010        0.935252
        1.705919        0.942446
        1.705112        0.949640
        1.693599        0.956835
        1.648809        0.964029
        1.613688        0.971223
        1.502590        0.978417
        1.487129        0.985612
        1.366755        0.992806
