         Z-score            prob
        5.795471        0.007194
        4.782294        0.014388
        4.348928        0.021583
        3.986825        0.028777
        3.819570        0.035971
        3.738202        0.043165
        3.661761        0.050360
        3.639734        0.057554
        3.639258        0.064748
        3.634195        0.071942
        3.598518        0.079137
        3.561756        0.086331
        3.528433        0.093525
        3.511064        0.100719
        3.495086        0.107914
        3.458637        0.115108
        3.450294        0.122302
        3.396379        0.129496
        3.373516        0.136691
        3.369630        0.143885
        3.333830        0.151079
        3.332869        0.158273
        3.326933        0.165468
        3.290571        0.172662
        3.252362        0.179856
        3.219366        0.187050
        3.201695        0.194245
        3.188546        0.201439
        3.149264        0.208633
        3.130920        0.215827
        3.128641        0.223022
        3.070430        0.230216
        3.044948        0.237410
        3.020271        0.244604
        3.012060        0.251799
        3.011808        0.258993
        3.005684        0.266187
        2.999975        0.273381
        2.990398        0.280576
        2.965056        0.287770
        2.956939        0.294964
        2.951554        0.302158
        2.937047        0.309353
        2.934961        0.316547
        2.921148        0.323741
        2.917754        0.330935
        2.897217        0.338129
        2.887367        0.345324
        2.864482        0.352518
        2.849905        0.359712
        2.842619        0.366906
        2.834377        0.374101
        2.832391        0.381295
        2.828519        0.388489
        2.820201        0.395683
        2.810712        0.402878
        2.805036        0.410072
        2.797499        0.417266
        2.764905        0.424460
        2.752514        0.431655
        2.751275        0.438849
        2.744363        0.446043
        2.741239        0.453237
        2.736728        0.460432
        2.733635        0.467626
        2.732524        0.474820
        2.721207        0.482014
        2.717158        0.489209
        2.713237        0.496403
        2.702925        0.503597
        2.651758        0.510791
        2.626979        0.517986
        2.624407        0.525180
        2.603261        0.532374
        2.590302        0.539568
        2.586555        0.546763
        2.581711        0.553957
        2.580601        0.561151
        2.579738        0.568345
        2.574057        0.575540
        2.571377        0.582734
        2.569178        0.589928
        2.566567        0.597122
        2.558240        0.604317
        2.556505        0.611511
        2.556213        0.618705
        2.548950        0.625899
        2.548918        0.633094
        2.522798        0.640288
        2.505141        0.647482
        2.493885        0.654676
        2.481960        0.661871
        2.456177        0.669065
        2.443111        0.676259
        2.412073        0.683453
        2.390312        0.690647
        2.387015        0.697842
        2.363888        0.705036
        2.360615        0.712230
        2.349004        0.719424
        2.328304        0.726619
        2.321213        0.733813
        2.299010        0.741007
        2.298934        0.748201
        2.298104        0.755396
        2.295300        0.762590
        2.275753        0.769784
        2.272332        0.776978
        2.264038        0.784173
        2.243162        0.791367
        2.239333        0.798561
        2.222825        0.805755
        2.204764        0.812950
        2.192985        0.820144
        2.190928        0.827338
        2.187495        0.834532
        2.177836        0.841727
        2.167598        0.848921
        2.161637        0.856115
        2.143937        0.863309
        2.139800        0.870504
        2.127354        0.877698
        2.081962        0.884892
        2.074336        0.892086
        2.069261        0.899281
        2.068475        0.906475
        2.055621        0.913669
        2.013220        0.920863
        1.998303        0.928058
        1.991805        0.935252
        1.988327        0.942446
        1.978170        0.949640
        1.915947        0.956835
        1.859755        0.964029
        1.793778        0.971223
        1.765333        0.978417
        1.748477        0.985612
        1.576997        0.992806
