         Z-score            prob
        4.427428        0.007194
        4.328364        0.014388
        4.217906        0.021583
        4.198908        0.028777
        3.852425        0.035971
        3.813763        0.043165
        3.657512        0.050360
        3.623685        0.057554
        3.504150        0.064748
        3.495631        0.071942
        3.491597        0.079137
        3.484966        0.086331
        3.408700        0.093525
        3.271248        0.100719
        3.229083        0.107914
        3.162634        0.115108
        3.125432        0.122302
        3.083308        0.129496
        3.072317        0.136691
        3.069574        0.143885
        3.068592        0.151079
        3.056394        0.158273
        2.978978        0.165468
        2.910060        0.172662
        2.904319        0.179856
        2.865066        0.187050
        2.856760        0.194245
        2.791475        0.201439
        2.755968        0.208633
        2.747707        0.215827
        2.735158        0.223022
        2.718935        0.230216
        2.672023        0.237410
        2.671004        0.244604
        2.661043        0.251799
        2.650492        0.258993
        2.623195        0.266187
        2.608831        0.273381
        2.555170        0.280576
        2.554203        0.287770
        2.552062        0.294964
        2.522843        0.302158
        2.508116        0.309353
        2.493950        0.316547
        2.492095        0.323741
        2.477140        0.330935
        2.455825        0.338129
        2.452841        0.345324
        2.435287        0.352518
        2.427294        0.359712
        2.416898        0.366906
        2.404670        0.374101
        2.395370        0.381295
        2.394246        0.388489
        2.382903        0.395683
        2.380033        0.402878
        2.360207        0.410072
        2.356121        0.417266
        2.333558        0.424460
        2.299540        0.431655
        2.282104        0.438849
        2.273660        0.446043
        2.270919        0.453237
        2.251755        0.460432
        2.236412        0.467626
        2.225974        0.474820
        2.219217        0.482014
        2.216481        0.489209
        2.195877        0.496403
        2.181307        0.503597
        2.161732        0.510791
        2.160392        0.517986
        2.152260        0.525180
        2.150546        0.532374
        2.139339        0.539568
        2.135532        0.546763
        2.120858        0.553957
        2.115206        0.561151
        2.110802        0.568345
        2.103115        0.575540
        2.090533        0.582734
        2.085573        0.589928
        2.080404        0.597122
        2.075932        0.604317
        2.060762        0.611511
        2.058631        0.618705
        2.042901        0.625899
        2.038398        0.633094
        2.013365        0.640288
        1.994262        0.647482
        1.984710        0.654676
        1.983948        0.661871
        1.983370        0.669065
        1.979140        0.676259
        1.960729        0.683453
        1.956581        0.690647
        1.951550        0.697842
        1.950190        0.705036
        1.929813        0.712230
        1.918125        0.719424
        1.909454        0.726619
        1.896796        0.733813
        1.887578        0.741007
        1.871164        0.748201
        1.862038        0.755396
        1.858499        0.762590
        1.839355        0.769784
        1.829854        0.776978
        1.817170        0.784173
        1.809685        0.791367
        1.804769        0.798561
        1.800722        0.805755
        1.799867        0.812950
        1.791725        0.820144
        1.787079        0.827338
        1.780281        0.834532
        1.772978        0.841727
        1.756542        0.848921
        1.733457        0.856115
        1.729640        0.863309
        1.675791        0.870504
        1.667968        0.877698
        1.635780        0.884892
        1.634790        0.892086
        1.632695        0.899281
        1.615821        0.906475
        1.590932        0.913669
        1.575729        0.920863
        1.568527        0.928058
        1.560477        0.935252
        1.560075        0.942446
        1.541162        0.949640
        1.528468        0.956835
        1.503635        0.964029
        1.497289        0.971223
        1.489011        0.978417
        1.454970        0.985612
        1.437198        0.992806
