         Z-score            prob
        6.025205        0.007194
        5.893890        0.014388
        5.085561        0.021583
        4.798007        0.028777
        4.350268        0.035971
        4.278100        0.043165
        4.115315        0.050360
        4.109633        0.057554
        4.082666        0.064748
        4.019223        0.071942
        3.991372        0.079137
        3.979073        0.086331
        3.950572        0.093525
        3.925350        0.100719
        3.879942        0.107914
        3.851637        0.115108
        3.790361        0.122302
        3.775577        0.129496
        3.755517        0.136691
        3.754324        0.143885
        3.727900        0.151079
        3.696289        0.158273
        3.678274        0.165468
        3.660276        0.172662
        3.652810        0.179856
        3.631390        0.187050
        3.624635        0.194245
        3.599883        0.201439
        3.596605        0.208633
        3.592322        0.215827
        3.590569        0.223022
        3.588595        0.230216
        3.569514        0.237410
        3.559628        0.244604
        3.556934        0.251799
        3.466760        0.258993
        3.448156        0.266187
        3.421010        0.273381
        3.396431        0.280576
        3.389469        0.287770
        3.384612        0.294964
        3.351356        0.302158
        3.308730        0.309353
        3.303138        0.316547
        3.300643        0.323741
        3.292816        0.330935
        3.282203        0.338129
        3.216338        0.345324
        3.206291        0.352518
        3.206192        0.359712
        3.196196        0.366906
        3.171773        0.374101
        3.147102        0.381295
        3.146501        0.388489
        3.146202        0.395683
        3.139465        0.402878
        3.090658        0.410072
        3.083852        0.417266
        3.083247        0.424460
        3.077796        0.431655
        3.075005        0.438849
        3.056300        0.446043
        3.031351        0.453237
        3.023813        0.460432
        3.019499        0.467626
        2.989794        0.474820
        2.989626        0.482014
        2.978116        0.489209
        2.975326        0.496403
        2.970305        0.503597
        2.942204        0.510791
        2.941372        0.517986
        2.928611        0.525180
        2.910085        0.532374
        2.908412        0.539568
        2.891534        0.546763
        2.877699        0.553957
        2.869978        0.561151
        2.825789        0.568345
        2.814461        0.575540
        2.802457        0.582734
        2.793272        0.589928
        2.780004        0.597122
        2.775482        0.604317
        2.758784        0.611511
        2.751565        0.618705
        2.718151        0.625899
        2.710832        0.633094
        2.710685        0.640288
        2.710663        0.647482
        2.707796        0.654676
        2.706437        0.661871
        2.651896        0.669065
        2.635634        0.676259
        2.631809        0.683453
        2.617842        0.690647
        2.609307        0.697842
        2.598877        0.705036
        2.581970        0.712230
        2.567065        0.719424
        2.566365        0.726619
        2.558623        0.733813
        2.543811        0.741007
        2.539710        0.748201
        2.518032        0.755396
        2.513716        0.762590
        2.511328        0.769784
        2.487095        0.776978
        2.479547        0.784173
        2.459221        0.791367
        2.457729        0.798561
        2.450137        0.805755
        2.448279        0.812950
        2.447574        0.820144
        2.429984        0.827338
        2.402142        0.834532
        2.393117        0.841727
        2.373757        0.848921
        2.361127        0.856115
        2.359136        0.863309
        2.336686        0.870504
        2.307836        0.877698
        2.290805        0.884892
        2.253218        0.892086
        2.246521        0.899281
        2.237653        0.906475
        2.221653        0.913669
        2.171857        0.920863
        2.167400        0.928058
        2.124319        0.935252
        2.056099        0.942446
        2.047818        0.949640
        1.967996        0.956835
        1.803055        0.964029
        1.776177        0.971223
        1.729768        0.978417
        1.692866        0.985612
        1.634367        0.992806
