         Z-score            prob
       60.837402        0.007194
       52.007694        0.014388
       51.982807        0.021583
       50.874557        0.028777
       47.711327        0.035971
       45.487228        0.043165
       44.427551        0.050360
       42.895718        0.057554
       42.356697        0.064748
       41.641335        0.071942
       40.830612        0.079137
       39.153114        0.086331
       38.680859        0.093525
       37.987988        0.100719
       37.692604        0.107914
       37.205242        0.115108
       37.038670        0.122302
       36.963890        0.129496
       36.717426        0.136691
       36.634907        0.143885
       36.300106        0.151079
       36.137306        0.158273
       35.534637        0.165468
       35.351051        0.172662
       34.207428        0.179856
       33.814537        0.187050
       32.879921        0.194245
       32.501019        0.201439
       31.942493        0.208633
       31.452732        0.215827
       30.882633        0.223022
       30.575819        0.230216
       30.306372        0.237410
       29.807693        0.244604
       29.727360        0.251799
       29.636110        0.258993
       29.492413        0.266187
       28.766745        0.273381
       28.076424        0.280576
       27.904444        0.287770
       27.842106        0.294964
       27.267088        0.302158
       27.180262        0.309353
       27.161003        0.316547
       27.156988        0.323741
       27.028513        0.330935
       26.666126        0.338129
       26.350420        0.345324
       26.300747        0.352518
       26.129396        0.359712
       26.055754        0.366906
       25.763805        0.374101
       25.719311        0.381295
       25.524889        0.388489
       24.928598        0.395683
       24.806475        0.402878
       24.588465        0.410072
       24.546564        0.417266
       24.199905        0.424460
       24.173912        0.431655
       24.166258        0.438849
       24.006348        0.446043
       23.652506        0.453237
       23.455280        0.460432
       23.434292        0.467626
       23.429064        0.474820
       23.189259        0.482014
       23.061270        0.489209
       23.000517        0.496403
       22.488134        0.503597
       22.120266        0.510791
       21.993195        0.517986
       21.819983        0.525180
       21.811417        0.532374
       21.555305        0.539568
       21.525780        0.546763
       21.513407        0.553957
       21.378201        0.561151
       21.182846        0.568345
       21.131971        0.575540
       21.126457        0.582734
       21.118927        0.589928
       20.747389        0.597122
       20.393265        0.604317
       20.169943        0.611511
       20.141443        0.618705
       20.001671        0.625899
       19.976255        0.633094
       19.377651        0.640288
       19.286108        0.647482
       19.126055        0.654676
       19.047729        0.661871
       19.047663        0.669065
       18.961346        0.676259
       18.721785        0.683453
       18.174866        0.690647
       18.051155        0.697842
       17.786598        0.705036
       17.575932        0.712230
       17.546173        0.719424
       17.293425        0.726619
       16.944761        0.733813
       16.735046        0.741007
       16.581690        0.748201
       16.385590        0.755396
       16.283911        0.762590
       16.148634        0.769784
       15.938923        0.776978
       15.752015        0.784173
       15.716037        0.791367
       15.629374        0.798561
       15.403632        0.805755
       15.350926        0.812950
       15.092978        0.820144
       14.782402        0.827338
       14.640890        0.834532
       14.566892        0.841727
       14.458654        0.848921
       14.082635        0.856115
       13.374290        0.863309
       13.109162        0.870504
       13.073437        0.877698
       12.846884        0.884892
       12.425289        0.892086
       12.333797        0.899281
       12.266345        0.906475
       11.970587        0.913669
       11.719713        0.920863
       11.526307        0.928058
       11.324151        0.935252
       11.262953        0.942446
       11.261443        0.949640
       11.014798        0.956835
       10.695843        0.964029
       10.086377        0.971223
        9.966437        0.978417
        9.585574        0.985612
        8.815191        0.992806
