         Z-score            prob
        5.780016        0.007194
        4.774940        0.014388
        4.306341        0.021583
        3.977244        0.028777
        3.862515        0.035971
        3.831365        0.043165
        3.723485        0.050360
        3.665529        0.057554
        3.596532        0.064748
        3.507920        0.071942
        3.503329        0.079137
        3.492257        0.086331
        3.470873        0.093525
        3.470165        0.100719
        3.443697        0.107914
        3.415137        0.115108
        3.414750        0.122302
        3.385847        0.129496
        3.359362        0.136691
        3.326430        0.143885
        3.303138        0.151079
        3.272836        0.158273
        3.265502        0.165468
        3.258818        0.172662
        3.257677        0.179856
        3.237318        0.187050
        3.191964        0.194245
        3.165831        0.201439
        3.140612        0.208633
        3.117403        0.215827
        3.112494        0.223022
        3.103063        0.230216
        3.088815        0.237410
        3.055676        0.244604
        3.051159        0.251799
        3.026558        0.258993
        3.021162        0.266187
        3.014290        0.273381
        3.012220        0.280576
        3.000874        0.287770
        2.989743        0.294964
        2.977174        0.302158
        2.960781        0.309353
        2.940820        0.316547
        2.931005        0.323741
        2.897909        0.330935
        2.890516        0.338129
        2.888146        0.345324
        2.878321        0.352518
        2.870637        0.359712
        2.859663        0.366906
        2.858765        0.374101
        2.854440        0.381295
        2.839128        0.388489
        2.838972        0.395683
        2.803377        0.402878
        2.800169        0.410072
        2.799560        0.417266
        2.783448        0.424460
        2.773308        0.431655
        2.758651        0.438849
        2.755602        0.446043
        2.749982        0.453237
        2.738947        0.460432
        2.722716        0.467626
        2.715179        0.474820
        2.711366        0.482014
        2.685050        0.489209
        2.678349        0.496403
        2.672307        0.503597
        2.671410        0.510791
        2.667643        0.517986
        2.667612        0.525180
        2.667220        0.532374
        2.657782        0.539568
        2.652489        0.546763
        2.652256        0.553957
        2.644509        0.561151
        2.641135        0.568345
        2.634280        0.575540
        2.603397        0.582734
        2.602031        0.589928
        2.592998        0.597122
        2.592760        0.604317
        2.589200        0.611511
        2.584440        0.618705
        2.569240        0.625899
        2.563509        0.633094
        2.532815        0.640288
        2.525850        0.647482
        2.519644        0.654676
        2.499827        0.661871
        2.493478        0.669065
        2.487584        0.676259
        2.457196        0.683453
        2.445463        0.690647
        2.444440        0.697842
        2.431927        0.705036
        2.429903        0.712230
        2.418993        0.719424
        2.418033        0.726619
        2.378199        0.733813
        2.367584        0.741007
        2.365153        0.748201
        2.360028        0.755396
        2.359814        0.762590
        2.346874        0.769784
        2.258097        0.776978
        2.239278        0.784173
        2.237780        0.791367
        2.233211        0.798561
        2.229560        0.805755
        2.214813        0.812950
        2.213181        0.820144
        2.202549        0.827338
        2.193729        0.834532
        2.173616        0.841727
        2.163965        0.848921
        2.163585        0.856115
        2.154113        0.863309
        2.145032        0.870504
        2.140568        0.877698
        2.121338        0.884892
        2.112412        0.892086
        2.088893        0.899281
        2.081309        0.906475
        2.067041        0.913669
        2.026963        0.920863
        2.013539        0.928058
        1.964879        0.935252
        1.953882        0.942446
        1.953777        0.949640
        1.934428        0.956835
        1.887192        0.964029
        1.854783        0.971223
        1.801304        0.978417
        1.769140        0.985612
        1.554603        0.992806
